binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	publication_role	discovery_status	confirm_status	combined_status	combined_samples	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	combined_p20_p80_ratio	publication_status	reason
picoperf	connect	iouring	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	connections_per_second	11	plateau_sentinel+post_selected	converged	converged	converged	20	4257.885433	4129.888795	4323.450952	0.045460	1.167324	converged	p80_p20_1.1673_gt_1.1500;confirm_disabled;p80_p20_1.1673_gt_1.1500
picoperf	connect	syscall	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	connections_per_second	7	selected_saturation	converged	converged	converged	20	2199.857603	2198.142564	2207.260707	0.004145	1.092241	converged	confirm_disabled
picoperf	connect	syscall	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	connections_per_second	8	plateau_sentinel+post_selected	converged	converged	converged	20	2112.193923	2112.193923	2128.468136	0.007705	1.101069	converged	confirm_disabled
picoperf	download	iouring	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	5.164743	5.073336	5.267850	0.037662	1.181184	converged	p50_ci_width_0.0377_gt_0.0300;p80_p20_1.1812_gt_1.1500;confirm_disabled;p50_ci_width_0.0377_gt_0.0300;p80_p20_1.1812_gt_1.1500
picoperf	download	iouring	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	3.329691	3.118358	3.466086	0.104433	1.184349	converged	p50_ci_width_0.1044_gt_0.0300;p80_p20_1.1843_gt_1.1500;block_median_ratio_1.1115_gt_1.1000;confirm_disabled;p50_ci_width_0.1044_gt_0.0300;p80_p20_1.1843_gt_1.1500;block_median_ratio_1.1115_gt_1.1000
picoperf	download	syscall	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	8.050297	7.961233	8.540953	0.072012	1.093818	converged	p50_ci_width_0.0720_gt_0.0300;confirm_disabled;p50_ci_width_0.0720_gt_0.0300
picoperf	download	syscall	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	throughput_gbps	2	plateau_sentinel+post_selected	converged	converged	converged	20	3.495401	3.447253	3.881915	0.124353	1.305224	converged	p50_ci_width_0.1244_gt_0.0300;p80_p20_1.3052_gt_1.1500;block_median_ratio_1.1261_gt_1.1000;confirm_disabled;p50_ci_width_0.1244_gt_0.0300;p80_p20_1.3052_gt_1.1500;block_median_ratio_1.1261_gt_1.1000
picoperf	upload	iouring	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	throughput_gbps	5	selected_saturation	converged	converged	converged	20	11.474884	11.412097	11.518538	0.009276	1.043406	converged	confirm_disabled
picoperf	upload	iouring	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	throughput_gbps	6	plateau_sentinel+post_selected	converged	converged	converged	20	11.411895	11.283528	11.581831	0.026140	1.092786	converged	confirm_disabled
picoperf	upload	syscall	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	throughput_gbps	2	selected_saturation	converged	converged	converged	20	11.432897	11.432897	11.434361	0.000128	1.140153	converged	confirm_disabled
picoperf	upload	syscall	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	throughput_gbps	3	plateau_sentinel+post_selected	converged	converged	converged	20	8.622632	8.532367	9.266738	0.085168	1.660152	converged	p50_ci_width_0.0852_gt_0.0300;p80_p20_1.6602_gt_1.1500;confirm_disabled;p50_ci_width_0.0852_gt_0.0300;p80_p20_1.6602_gt_1.1500
