binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	publication_status	metric	selected_threads	best_threads	boundary_threads	discovery_p50	confirm_p50	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	p90	p99	p99_status	selection_probability_within_tolerance	selected_vs_best_ratio	edge_status	reason
picoperf	download	syscall	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	converged	throughput_gbps	1	1	2	8.050297		8.050297	7.961233	8.540953	0.072012	7.741265	7.178985	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-56.58pct_le_1.00pct
picoperf	upload	iouring	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	converged	throughput_gbps	5	5	6	11.474884		11.474884	11.412097	11.518538	0.009276	10.960406	10.846146	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.55pct_le_1.00pct
picoperf	upload	syscall	loopback	publication	1	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	converged	throughput_gbps	2	2	3	11.432897		11.432897	11.432897	11.434361	0.000128	9.576479	6.385263	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-24.58pct_le_1.00pct
quicheperf	connect	iouring	loopback	publication	1	cc=cubic|migration=off|pmtud=off|max_windows=profile|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	12	12	13	5791.114261		5791.114261	5591.738403	5911.185679	0.055162	5406.021068	4992.484783	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-1.73pct_le_1.00pct
quicheperf	connect	syscall	loopback	publication	1	cc=cubic|migration=off|pmtud=off|max_windows=profile|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	8	8	8	2436.649213		2436.649213	2428.635509	2458.088639	0.012088	2131.206192	2062.089104	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.43pct_le_1.00pct
quicheperf	download	iouring	loopback	publication	1	cc=cubic|migration=off|pmtud=off|max_windows=profile|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	2	2	3	7.756130		7.756130	7.540797	7.868298	0.042225	6.742242	6.459976	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.95pct_le_1.00pct
quicheperf	download	syscall	loopback	publication	1	cc=cubic|migration=off|pmtud=off|max_windows=profile|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	2	2	3	8.997457		8.997457	8.852940	9.081077	0.025356	8.543396	8.244910	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-1.84pct_le_1.00pct
quicheperf	upload	iouring	loopback	publication	1	cc=cubic|migration=off|pmtud=off|max_windows=profile|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	4	4	4	12.812679		12.812679	12.696608	12.858691	0.012650	12.525365	12.204643	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.81pct_le_1.00pct
quicheperf	upload	syscall	loopback	publication	1	cc=cubic|migration=off|pmtud=off|max_windows=profile|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	4	4	5	13.906682		13.906682	13.798894	14.044604	0.017668	13.451031	13.217116	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.74pct_le_1.00pct
quiczigperf	connect	iouring	loopback	publication	1	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=library_default|send_backpressure=stream_window|flow_window=profile_request|server_send_rr=on	cubic	converged	connections_per_second	11	11	12	3799.021948		3799.021948	3718.192405	4211.814086	0.129934	3560.824782	3351.399586	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.82pct_le_1.00pct
quiczigperf	connect	syscall	loopback	publication	1	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=library_default|send_backpressure=stream_window|flow_window=profile_request|server_send_rr=on	cubic	converged	connections_per_second	6	6	7	2320.150826		2320.150826	2261.631604	2456.745204	0.084095	2101.665001	2068.932483	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.29pct_le_1.00pct
quiczigperf	download	iouring	loopback	publication	1	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=library_default|send_backpressure=stream_window|flow_window=profile_request|server_send_rr=on	cubic	converged	throughput_gbps	1	1	2	9.420408		9.420408	9.405543	9.444366	0.004121	8.579543	6.007909	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-68.14pct_le_1.00pct
quiczigperf	download	syscall	loopback	publication	1	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=library_default|send_backpressure=stream_window|flow_window=profile_request|server_send_rr=on	cubic	converged	throughput_gbps	1	1	2	9.585001		9.585001	9.459122	9.633523	0.018195	8.995010	8.988759	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-46.05pct_le_1.00pct
quiczigperf	upload	iouring	loopback	publication	1	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=library_default|send_backpressure=stream_window|flow_window=profile_request|server_send_rr=on	cubic	converged	throughput_gbps	1	1	2	9.206329		9.206329	8.940846	9.255198	0.034145	8.727627	8.111478	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-29.75pct_le_1.00pct
quiczigperf	upload	syscall	loopback	publication	1	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=library_default|send_backpressure=stream_window|flow_window=profile_request|server_send_rr=on	cubic	converged	throughput_gbps	1	1	2	9.277879		9.277879	8.985239	9.980820	0.107307	8.919113	8.416090	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-20.44pct_le_1.00pct
quinnperf	connect	iouring	loopback	publication	1	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	connections_per_second	14	14	15	7157.732729		7157.732729	6931.125190	7194.897060	0.036851	6839.169527	6623.421717	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.36pct_le_1.00pct
quinnperf	connect	syscall	loopback	publication	1	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	connections_per_second	7	7	8	3257.025843		3257.025843	3227.349122	3262.738165	0.010865	3086.245295	2956.854265	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-4.53pct_le_1.00pct
quinnperf	download	iouring	loopback	publication	1	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	2	2	3	6.588323		6.588323	6.577764	6.602701	0.003785	5.803546	5.654969	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-7.00pct_le_1.00pct
quinnperf	download	syscall	loopback	publication	1	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	3	3	3	5.831085		5.831085	5.831085	6.065192	0.040148	5.691677	5.613418	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.95pct_le_1.00pct
quinnperf	upload	iouring	loopback	publication	1	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	1	1	2	4.130215		4.130215	4.070908	4.612115	0.131036	4.038993	3.989456	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-12.13pct_le_1.00pct
quinnperf	upload	syscall	loopback	publication	1	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	1	1	2	3.446281		3.446281	3.440568	3.448079	0.002179	3.409587	3.407726	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-7.90pct_le_1.00pct
s2nperf	connect	iouring	loopback	publication	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	connections_per_second	11	11	12	5656.456478		5656.456478	5628.110860	5723.682289	0.016896	5158.652692	4968.168106	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-1.57pct_le_1.00pct
s2nperf	connect	syscall	loopback	publication	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	connections_per_second	7	7	8	2827.714947		2827.714947	2813.105478	2864.055067	0.018018	2693.289189	2664.515157	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-5.28pct_le_1.00pct
s2nperf	download	iouring	loopback	publication	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	6	6	6	5.445554		5.445554	5.084809	5.506939	0.077518	2.168414	1.802073	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.68pct_le_1.00pct
s2nperf	download	syscall	loopback	publication	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	4	4	5	5.475502		5.475502	5.475502	5.571966	0.017617	4.301609	3.142834	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-12.00pct_le_1.00pct
s2nperf	upload	iouring	loopback	publication	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	3	3	4	5.525716		5.525716	5.444689	5.752873	0.055773	5.132517	5.040216	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.93pct_le_1.00pct
