binary	scenario	network	path_profile	metric	selected_threads	best_threads	boundary_threads	selection_probability_within_tolerance	best_p50	selected_p50	selected_vs_best_ratio	selected_vs_best_ci95_low	selected_vs_best_ci95_high	plateau_sentinel_count	edge_status	decision_status	reason
quinnperf	download	iouring	loopback	throughput_gbps	2	2	3	1.000000	6.588323	6.588323	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-7.00pct_le_1.00pct
quinnperf	download	syscall	loopback	throughput_gbps	3	3	3	1.000000	5.831085	5.831085	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.95pct_le_1.00pct
quinnperf	upload	iouring	loopback	throughput_gbps	1	1	2	1.000000	4.130215	4.130215	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-12.13pct_le_1.00pct
quinnperf	upload	syscall	loopback	throughput_gbps	1	1	2	1.000000	3.446281	3.446281	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-7.90pct_le_1.00pct
s2nperf	connect	iouring	loopback	connections_per_second	11	11	12	1.000000	5656.456478	5656.456478	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-1.57pct_le_1.00pct
s2nperf	connect	syscall	loopback	connections_per_second	7	7	8	1.000000	2827.714947	2827.714947	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-5.28pct_le_1.00pct
s2nperf	download	iouring	loopback	throughput_gbps	6	6	6	1.000000	5.445554	5.445554	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.68pct_le_1.00pct
s2nperf	download	syscall	loopback	throughput_gbps	4	4	5	1.000000	5.475502	5.475502	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-12.00pct_le_1.00pct
s2nperf	upload	iouring	loopback	throughput_gbps	3	3	4	1.000000	5.525716	5.525716	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.93pct_le_1.00pct
s2nperf	upload	syscall	loopback	throughput_gbps	2	2	3	1.000000	5.989219	5.989219	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.83pct_le_1.00pct
tquicperf	connect	iouring	loopback	connections_per_second	12	12	13	1.000000	7220.246114	7220.246114	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-1.18pct_le_1.00pct
tquicperf	connect	syscall	loopback	connections_per_second	9	9	10	1.000000	2961.370148	2961.370148	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.23pct_le_1.00pct
tquicperf	download	iouring	loopback	throughput_gbps	3	3	3	1.000000	6.547078	6.547078	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.28pct_le_1.00pct
tquicperf	download	syscall	loopback	throughput_gbps	4	4	5	1.000000	7.406345	7.406345	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-1.79pct_le_1.00pct
tquicperf	upload	iouring	loopback	throughput_gbps	5	5	5	1.000000	10.060567	10.060567	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_0.88pct_le_1.00pct
tquicperf	upload	syscall	loopback	throughput_gbps	5	5	6	1.000000	11.058685	11.058685	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-2.04pct_le_1.00pct
xquicperf	connect	iouring	loopback	connections_per_second	17	17	18	1.000000	8833.428586	8833.428586	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-3.43pct_le_1.00pct
xquicperf	connect	syscall	loopback	connections_per_second	7	7	8	1.000000	3606.709152	3606.709152	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-1.19pct_le_1.00pct
xquicperf	download	iouring	loopback	throughput_gbps	4	4	5	1.000000	3.384320	3.384320	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.73pct_le_1.00pct
xquicperf	download	syscall	loopback	throughput_gbps	3	3	4	1.000000	4.865162	4.865162	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-2.61pct_le_1.00pct
xquicperf	upload	iouring	loopback	throughput_gbps	1	1	2	1.000000	1.726123	1.726123	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-10.97pct_le_1.00pct
xquicperf	upload	syscall	loopback	throughput_gbps	4	4	5	1.000000	3.131590	3.131590	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-0.98pct_le_1.00pct
