binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	curve_role	phase	samples	blocks	p50	p90	p99	p99_status	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	convergence_status	reason
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	3	pre_saturation	discovery	20	2	2878.987224	2622.739248	2539.603798	insufficient_order_stat_support	2774.780855	2920.575104	0.050641	2689.881158	3041.690552	1.130790	converged	p50_ci_width_0.0506_gt_0.0500
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	3	pre_saturation	combined	20	2	2878.987224	2622.739248	2539.603798	insufficient_order_stat_support	2774.780855	2920.575104	0.050641	2689.881158	3041.690552	1.130790	converged	p50_ci_width_0.0506_gt_0.0500
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	4	pre_saturation	discovery	20	2	3076.030407	2511.774431	2116.449943	insufficient_order_stat_support	2880.094651	3229.505924	0.113592	2768.057224	3379.480827	1.220885	converged	p50_ci_width_0.1136_gt_0.0500;p80_p20_1.2209_gt_1.1500;block_median_ratio_1.1213_gt_1.1000
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	4	pre_saturation	combined	20	2	3076.030407	2511.774431	2116.449943	insufficient_order_stat_support	2880.094651	3229.505924	0.113592	2768.057224	3379.480827	1.220885	converged	p50_ci_width_0.1136_gt_0.0500;p80_p20_1.2209_gt_1.1500;block_median_ratio_1.1213_gt_1.1000
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	5	selected_saturation	discovery	20	2	3526.067598	3072.410420	2841.156134	insufficient_order_stat_support	3509.756561	3526.067598	0.004626	3104.765050	3779.639925	1.217367	converged	p80_p20_1.2174_gt_1.1500
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	5	selected_saturation	combined	20	2	3526.067598	3072.410420	2841.156134	insufficient_order_stat_support	3509.756561	3526.067598	0.004626	3104.765050	3779.639925	1.217367	converged	p80_p20_1.2174_gt_1.1500
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	6	plateau_sentinel+post_selected	discovery	20	2	3496.812429	3081.125725	2957.436710	insufficient_order_stat_support	3476.692536	3562.475662	0.024532	3254.166045	3769.703041	1.158424	converged	p80_p20_1.1584_gt_1.1500
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	6	plateau_sentinel+post_selected	combined	20	2	3496.812429	3081.125725	2957.436710	insufficient_order_stat_support	3476.692536	3562.475662	0.024532	3254.166045	3769.703041	1.158424	converged	p80_p20_1.1584_gt_1.1500
lsperf	download	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	discovery	20	2	11.391506	10.850342	10.098652	insufficient_order_stat_support	11.157526	11.766976	0.053500	10.973108	11.793162	1.074733	converged	p50_ci_width_0.0535_gt_0.0300
lsperf	download	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	combined	20	2	11.391506	10.850342	10.098652	insufficient_order_stat_support	11.157526	11.766976	0.053500	10.973108	11.793162	1.074733	converged	p50_ci_width_0.0535_gt_0.0300
lsperf	download	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	discovery	20	2	4.260130	3.709501	3.630964	insufficient_order_stat_support	4.166724	4.260130	0.021926	3.845106	4.656833	1.211106	converged	p80_p20_1.2111_gt_1.1500
lsperf	download	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	combined	20	2	4.260130	3.709501	3.630964	insufficient_order_stat_support	4.166724	4.260130	0.021926	3.845106	4.656833	1.211106	converged	p80_p20_1.2111_gt_1.1500
lsperf	download	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	discovery	20	2	11.789299	10.797469	10.715957	insufficient_order_stat_support	11.757616	11.789299	0.002687	11.144908	12.477137	1.119537	converged	
lsperf	download	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	combined	20	2	11.789299	10.797469	10.715957	insufficient_order_stat_support	11.757616	11.789299	0.002687	11.144908	12.477137	1.119537	converged	
lsperf	download	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	discovery	20	2	5.079757	4.439801	4.197539	insufficient_order_stat_support	4.996656	5.228765	0.045693	4.661164	5.412508	1.161192	converged	p50_ci_width_0.0457_gt_0.0300;p80_p20_1.1612_gt_1.1500
lsperf	download	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	plateau_sentinel+post_selected	combined	20	2	5.079757	4.439801	4.197539	insufficient_order_stat_support	4.996656	5.228765	0.045693	4.661164	5.412508	1.161192	converged	p50_ci_width_0.0457_gt_0.0300;p80_p20_1.1612_gt_1.1500
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+pre_saturation	discovery	20	2	11.177566	10.181740	9.840070	insufficient_order_stat_support	10.778779	11.366059	0.052541	10.317306	11.876077	1.151083	converged	p50_ci_width_0.0525_gt_0.0300;p80_p20_1.1511_gt_1.1500
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+pre_saturation	combined	20	2	11.177566	10.181740	9.840070	insufficient_order_stat_support	10.778779	11.366059	0.052541	10.317306	11.876077	1.151083	converged	p50_ci_width_0.0525_gt_0.0300;p80_p20_1.1511_gt_1.1500
