binary	scenario	network	client_threads	metric	phase	samples	blocks	median	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	mad_relative	block_median_ratio	drift_relative	lag1_autocorr	outlier_count	convergence_status	reason
lsperf	loss_recovery	syscall	1	throughput_gbps	combined	30	6	5.067761	4.229050	5.634732	0.277377	2.769685	5.891306	2.127067	6.029997	6.234683	insufficient_order_stat_support	0.185234	2.220407	-0.147677	0.117421	0	not_ready_high_variance	p50_ci_width_0.2774_gt_0.0800;p80_p20_2.1271_gt_1.1500;block_median_ratio_2.2204_gt_1.1000;drift_-0.1477_gt_0.0300;severe_block_median_ratio_2.2204_gt_1.2500;severe_p80_p20_2.1271_gt_1.5000;severe_drift_-0.1477_gt_0.0800
lsperf	multistream_download	iouring	1	throughput_gbps	discovery	40	8	4.158742	3.875960	4.443221	0.136402	3.590877	4.769572	1.328247	5.238045	7.874484	insufficient_order_stat_support	0.115660	1.265685	0.025621	-0.098121	0	not_ready_high_variance	p50_ci_width_0.1364_gt_0.0300;p80_p20_1.3282_gt_1.1500;block_median_ratio_1.2657_gt_1.1000;severe_block_median_ratio_1.2657_gt_1.2500
lsperf	multistream_download	iouring	1	throughput_gbps	combined	40	8	4.158742	3.875960	4.443221	0.136402	3.590877	4.769572	1.328247	5.238045	7.874484	insufficient_order_stat_support	0.115660	1.265685	0.025621	-0.098121	0	not_ready_high_variance	p50_ci_width_0.1364_gt_0.0300;p80_p20_1.3282_gt_1.1500;block_median_ratio_1.2657_gt_1.1000;severe_block_median_ratio_1.2657_gt_1.2500
lsperf	multistream_download	syscall	1	throughput_gbps	discovery	30	6	5.499852	5.301390	5.760541	0.083484	4.495246	5.883206	1.308762	5.939542	6.623126	insufficient_order_stat_support	0.076175	1.258469	-0.038542	-0.262404	0	not_ready_high_variance	p50_ci_width_0.0835_gt_0.0300;p80_p20_1.3088_gt_1.1500;block_median_ratio_1.2585_gt_1.1000;drift_-0.0385_gt_0.0300;severe_block_median_ratio_1.2585_gt_1.2500
lsperf	multistream_download	syscall	1	throughput_gbps	combined	30	6	5.499852	5.301390	5.760541	0.083484	4.495246	5.883206	1.308762	5.939542	6.623126	insufficient_order_stat_support	0.076175	1.258469	-0.038542	-0.262404	0	not_ready_high_variance	p50_ci_width_0.0835_gt_0.0300;p80_p20_1.3088_gt_1.1500;block_median_ratio_1.2585_gt_1.1000;drift_-0.0385_gt_0.0300;severe_block_median_ratio_1.2585_gt_1.2500
lsperf	multistream_upload	iouring	1	throughput_gbps	discovery	40	8	3.945723	3.753409	4.073251	0.081060	3.614760	4.582029	1.267589	4.733207	5.005256	insufficient_order_stat_support	0.085661	1.161322	-0.057539	-0.186578	0	not_ready_high_variance	p50_ci_width_0.0811_gt_0.0300;p80_p20_1.2676_gt_1.1500;block_median_ratio_1.1613_gt_1.1000;drift_-0.0575_gt_0.0300;persistent_block_median_ratio_recent_1.1575_gt_1.1000;persistent_p80_p20_recent_1.2377_gt_1.1500;persistent_drift_-0.0575_gt_0.0300
lsperf	multistream_upload	iouring	1	throughput_gbps	combined	40	8	3.945723	3.753409	4.073251	0.081060	3.614760	4.582029	1.267589	4.733207	5.005256	insufficient_order_stat_support	0.085661	1.161322	-0.057539	-0.186578	0	not_ready_high_variance	p50_ci_width_0.0811_gt_0.0300;p80_p20_1.2676_gt_1.1500;block_median_ratio_1.1613_gt_1.1000;drift_-0.0575_gt_0.0300;persistent_block_median_ratio_recent_1.1575_gt_1.1000;persistent_p80_p20_recent_1.2377_gt_1.1500;persistent_drift_-0.0575_gt_0.0300
lsperf	multistream_upload	syscall	1	throughput_gbps	discovery	30	6	4.705964	4.328190	5.054337	0.154304	4.001115	5.465171	1.365912	5.876685	6.139639	insufficient_order_stat_support	0.148977	1.447953	0.012288	0.035049	0	not_ready_high_variance	p50_ci_width_0.1543_gt_0.0300;p80_p20_1.3659_gt_1.1500;block_median_ratio_1.4480_gt_1.1000;severe_block_median_ratio_1.4480_gt_1.2500
lsperf	multistream_upload	syscall	1	throughput_gbps	combined	30	6	4.705964	4.328190	5.054337	0.154304	4.001115	5.465171	1.365912	5.876685	6.139639	insufficient_order_stat_support	0.148977	1.447953	0.012288	0.035049	0	not_ready_high_variance	p50_ci_width_0.1543_gt_0.0300;p80_p20_1.3659_gt_1.1500;block_median_ratio_1.4480_gt_1.1000;severe_block_median_ratio_1.4480_gt_1.2500
lsperf	reqresp	iouring	1	requests_per_second	discovery	20	4	53597.866814	53249.268824	53840.535913	0.011032	53015.582335	54092.680226	1.020317	54331.909917	54739.909199	insufficient_order_stat_support	0.009134	1.012316	0.010013	-0.128104	0	ready	-
lsperf	reqresp	iouring	1	requests_per_second	combined	20	4	53597.866814	53249.268824	53840.535913	0.011032	53015.582335	54092.680226	1.020317	54331.909917	54739.909199	insufficient_order_stat_support	0.009134	1.012316	0.010013	-0.128104	0	ready	-
lsperf	reqresp	iouring	2	requests_per_second	discovery	20	4	54187.868204	54139.241052	54911.081464	0.014244	53675.929855	55051.456700	1.025627	55112.595418	55474.166693	insufficient_order_stat_support	0.010584	1.016829	0.004883	0.052247	0	ready	-
lsperf	reqresp	iouring	2	requests_per_second	combined	20	4	54187.868204	54139.241052	54911.081464	0.014244	53675.929855	55051.456700	1.025627	55112.595418	55474.166693	insufficient_order_stat_support	0.010584	1.016829	0.004883	0.052247	0	ready	-
lsperf	reqresp	iouring	3	requests_per_second	discovery	40	8	54458.397506	54046.629885	55148.122757	0.020226	53344.897096	56870.461774	1.066090	61065.121381	64741.178639	insufficient_order_stat_support	0.017693	1.158615	-0.066109	0.392151	0	not_ready_high_variance	block_median_ratio_1.1586_gt_1.1000;drift_-0.0661_gt_0.0300;persistent_drift_-0.0661_gt_0.0300
lsperf	reqresp	iouring	3	requests_per_second	combined	40	8	54458.397506	54046.629885	55148.122757	0.020226	53344.897096	56870.461774	1.066090	61065.121381	64741.178639	insufficient_order_stat_support	0.017693	1.158615	-0.066109	0.392151	0	not_ready_high_variance	block_median_ratio_1.1586_gt_1.1000;drift_-0.0661_gt_0.0300;persistent_drift_-0.0661_gt_0.0300
lsperf	reqresp	syscall	1	requests_per_second	discovery	30	6	96774.905645	96618.567164	96925.584814	0.003172	95969.066094	97256.100754	1.013411	155070.443539	159569.690639	insufficient_order_stat_support	0.004154	1.024689	-0.000753	-0.162580	4	not_ready_high_variance	outliers_4;severe_outlier_blocks_3_gte_2
lsperf	reqresp	syscall	1	requests_per_second	combined	30	6	96774.905645	96618.567164	96925.584814	0.003172	95969.066094	97256.100754	1.013411	155070.443539	159569.690639	insufficient_order_stat_support	0.004154	1.024689	-0.000753	-0.162580	4	not_ready_high_variance	outliers_4;severe_outlier_blocks_3_gte_2
lsperf	small_payload_pps	iouring	1	messages_per_second	discovery	20	4	58863.201956	57659.768847	59115.093363	0.024724	56574.435739	59322.035807	1.048566	59515.083116	59642.741655	insufficient_order_stat_support	0.008611	1.045020	-0.020272	0.105191	0	ready	-
lsperf	small_payload_pps	iouring	1	messages_per_second	combined	20	4	58863.201956	57659.768847	59115.093363	0.024724	56574.435739	59322.035807	1.048566	59515.083116	59642.741655	insufficient_order_stat_support	0.008611	1.045020	-0.020272	0.105191	0	ready	-
lsperf	small_payload_pps	iouring	2	messages_per_second	discovery	20	4	59112.339157	58618.304801	60041.558564	0.024077	58527.965425	60189.558703	1.028390	61452.138343	67427.355551	insufficient_order_stat_support	0.012852	1.030882	0.017906	0.469638	0	ready	-
lsperf	small_payload_pps	iouring	2	messages_per_second	combined	20	4	59112.339157	58618.304801	60041.558564	0.024077	58527.965425	60189.558703	1.028390	61452.138343	67427.355551	insufficient_order_stat_support	0.012852	1.030882	0.017906	0.469638	0	ready	-
lsperf	small_payload_pps	iouring	3	messages_per_second	discovery	75	15	59979.782596	59731.188652	60262.071746	0.008851	59205.730171	60539.540360	1.022528	68534.051196	70292.183734	insufficient_order_stat_support	0.009192	1.164162	0.003983	0.422300	2	not_ready_high_variance	block_median_ratio_1.1642_gt_1.1000;outliers_2;severe_outlier_blocks_2_gte_2
lsperf	small_payload_pps	iouring	3	messages_per_second	combined	75	15	59979.782596	59731.188652	60262.071746	0.008851	59205.730171	60539.540360	1.022528	68534.051196	70292.183734	insufficient_order_stat_support	0.009192	1.164162	0.003983	0.422300	2	not_ready_high_variance	block_median_ratio_1.1642_gt_1.1000;outliers_2;severe_outlier_blocks_2_gte_2
lsperf	small_payload_pps	syscall	1	messages_per_second	discovery	20	4	187897.722530	186519.622174	188649.785113	0.011337	186513.901798	189024.426388	1.013460	189241.193434	191060.364837	insufficient_order_stat_support	0.006235	1.012441	-0.002630	0.152868	0	ready	-
lsperf	small_payload_pps	syscall	1	messages_per_second	combined	20	4	187897.722530	186519.622174	188649.785113	0.011337	186513.901798	189024.426388	1.013460	189241.193434	191060.364837	insufficient_order_stat_support	0.006235	1.012441	-0.002630	0.152868	0	ready	-
lsperf	small_payload_pps	syscall	2	messages_per_second	discovery	20	4	224511.538851	221180.859003	225304.686635	0.018368	220551.292066	226221.776393	1.025711	228401.924789	230791.998315	insufficient_order_stat_support	0.011092	1.024585	0.006220	-0.066056	0	ready	-
lsperf	small_payload_pps	syscall	2	messages_per_second	combined	20	4	224511.538851	221180.859003	225304.686635	0.018368	220551.292066	226221.776393	1.025711	228401.924789	230791.998315	insufficient_order_stat_support	0.011092	1.024585	0.006220	-0.066056	0	ready	-
lsperf	small_payload_pps	syscall	3	messages_per_second	discovery	30	6	236845.838892	235946.313304	264185.274371	0.119229	235314.078405	267769.961100	1.137926	271651.101049	273240.560639	insufficient_order_stat_support	0.037751	1.146033	-0.097330	0.454388	0	not_ready_high_variance	p50_ci_width_0.1192_gt_0.0500;block_median_ratio_1.1460_gt_1.1000;drift_-0.0973_gt_0.0300;severe_drift_-0.0973_gt_0.0800
lsperf	small_payload_pps	syscall	3	messages_per_second	combined	30	6	236845.838892	235946.313304	264185.274371	0.119229	235314.078405	267769.961100	1.137926	271651.101049	273240.560639	insufficient_order_stat_support	0.037751	1.146033	-0.097330	0.454388	0	not_ready_high_variance	p50_ci_width_0.1192_gt_0.0500;block_median_ratio_1.1460_gt_1.1000;drift_-0.0973_gt_0.0300;severe_drift_-0.0973_gt_0.0800
lsperf	stream_churn	iouring	1	streams_per_second	discovery	20	4	58178.541666	56529.062625	59051.715626	0.043361	56318.363465	59113.924547	1.049639	59126.236148	59671.922628	insufficient_order_stat_support	0.020399	1.045063	-0.008975	0.095849	0	ready	-
lsperf	stream_churn	iouring	1	streams_per_second	combined	20	4	58178.541666	56529.062625	59051.715626	0.043361	56318.363465	59113.924547	1.049639	59126.236148	59671.922628	insufficient_order_stat_support	0.020399	1.045063	-0.008975	0.095849	0	ready	-
lsperf	stream_churn	iouring	2	streams_per_second	discovery	20	4	59081.864287	58441.954709	59679.044249	0.020939	57973.219307	59896.256528	1.033171	60033.994308	60714.123124	insufficient_order_stat_support	0.013983	1.023628	0.002768	0.297528	0	ready	-
