binary	scenario	network	publication_status	metric	selected_threads	best_threads	boundary_threads	discovery_p50	confirm_p50	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	p90	p99	p99_status	selection_probability_within_tolerance	selected_vs_best_ratio	edge_status	reason
s2nperf	multistream_upload	syscall	not_ready	throughput_gbps	2	2	3	5.238740		5.238740	5.194574	5.314266	0.022847	5.457973	5.629151	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t3:p50_ci_width_0.0624_gt_0.0300;block_median_ratio_1.1419_gt_1.1000;drift_0.0338_gt_0.0300;persistent_block_median_ratio_recent_1.1008_gt_1.1000;persistent_drift_0.0338_gt_0.0300;t1:missing_confirm_stats;t2:missing_confirm_stats;t3:p50_ci_width_0.0624_gt_0.0300;block_median_ratio_1.1419_gt_1.1000;drift_0.0338_gt_0.0300;persistent_block_median_ratio_recent_1.1008_gt_1.1000;persistent_drift_0.0338_gt_0.0300;missing_confirm_stats;p50_ci_width_0.0624_gt_0.0300;block_median_ratio_1.1419_gt_1.1000;drift_0.0338_gt_0.0300;persistent_block_median_ratio_recent_1.1008_gt_1.1000;persistent_drift_0.0338_gt_0.0300
s2nperf	reqresp	iouring	not_ready	requests_per_second	5	5	7	44302.620114	45392.771836	44364.182966	44157.772126	44710.511316	0.012459	47646.793019	49271.056100	insufficient_order_stat_support	1.000000	1.000000	ok	t1:combined_not_ready_high_variance;drift_-0.0381_gt_0.0300;persistent_drift_-0.0381_gt_0.0300;t2:combined_not_ready_nonstationary;drift_0.0351_gt_0.0300
s2nperf	reqresp	syscall	not_ready	requests_per_second	5	5	7	49355.469107	53829.662564	49795.016058	49253.831864	52980.521017	0.074841	54073.607398	55169.059698	insufficient_order_stat_support	1.000000	1.000000	ok	t5:confirm_median_delta_0.0907_gt_0.0750;combined_not_ready_nonstationary;p50_ci_width_0.0748_gt_0.0500;block_median_ratio_1.1045_gt_1.1000;drift_-0.0777_gt_0.0300;t7:confirm_p50_ci_width_0.1013_gt_0.0750;combined_not_ready_nonstationary;block_median_ratio_1.1082_gt_1.1000
s2nperf	small_payload_pps	iouring	not_ready	messages_per_second	2	2	3	40414.772456		40414.772456	39925.566931	41073.420108	0.028402	41904.567200	42791.175541	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t3:p50_ci_width_0.0803_gt_0.0500;block_median_ratio_1.1077_gt_1.1000;drift_-0.0391_gt_0.0300;persistent_drift_-0.0391_gt_0.0300;t1:missing_confirm_stats;t2:missing_confirm_stats;t3:p50_ci_width_0.0803_gt_0.0500;block_median_ratio_1.1077_gt_1.1000;drift_-0.0391_gt_0.0300;persistent_drift_-0.0391_gt_0.0300;missing_confirm_stats;p50_ci_width_0.0803_gt_0.0500;block_median_ratio_1.1077_gt_1.1000;drift_-0.0391_gt_0.0300;persistent_drift_-0.0391_gt_0.0300
s2nperf	small_payload_pps	syscall	not_ready	messages_per_second	2	2	3	44943.108606		44943.108606	44479.543000	45593.420219	0.024784	46753.006402	49045.113275	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t3:block_median_ratio_1.1031_gt_1.1000;t1:missing_confirm_stats;t2:missing_confirm_stats;t3:block_median_ratio_1.1031_gt_1.1000;missing_confirm_stats;block_median_ratio_1.1031_gt_1.1000
s2nperf	stream_churn	iouring	not_ready	streams_per_second	5	5	7	44668.167470	44657.720421	44657.720421	44410.131450	45201.603447	0.017723	46757.244501	48951.799960	insufficient_order_stat_support	1.000000	1.000000	ok	t1:combined_not_ready_nonstationary;drift_0.0306_gt_0.0300
s2nperf	stream_churn	syscall	not_ready	streams_per_second	3	3	5	49407.011553	49277.663045	49357.647800	48805.723780	50183.932608	0.027923	53419.061370	55449.569061	insufficient_order_stat_support	1.000000	1.000000	ok	t1:combined_not_ready_nonstationary;drift_0.0300_gt_0.0300
s2nperf	upload	iouring	ready	throughput_gbps	7	7	9	6.190103	6.177681	6.188416	6.147016	6.215552	0.011075	6.258059	6.288237	insufficient_order_stat_support	1.000000	1.000000	ok	-
s2nperf	upload	syscall	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.2595_gt_0.0300;p80_p20_1.8932_gt_1.1500;block_median_ratio_1.8301_gt_1.1000;drift_0.1869_gt_0.0300;severe_block_median_ratio_1.8301_gt_1.2500;severe_p80_p20_1.8932_gt_1.5000;severe_drift_0.1869_gt_0.0800
tquicperf	bidi	iouring	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0829_gt_0.0300;p80_p20_1.1769_gt_1.1500;block_median_ratio_1.1712_gt_1.1000;drift_-0.0866_gt_0.0300;severe_drift_-0.0866_gt_0.0800
tquicperf	bidi	syscall	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0755_gt_0.0300;p80_p20_1.2136_gt_1.1500;block_median_ratio_1.1991_gt_1.1000;drift_-0.0623_gt_0.0300;persistent_p80_p20_recent_1.1681_gt_1.1500;persistent_drift_-0.0623_gt_0.0300
tquicperf	close_reset_cleanup	iouring	not_ready	streams_per_second	1	1	2	111942.987676		111942.987676	110856.122089	112791.155940	0.017286	113190.891355	113903.679253	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.1252_gt_0.0500;p80_p20_1.1868_gt_1.1500;block_median_ratio_1.3860_gt_1.1000;drift_-0.0764_gt_0.0300;severe_block_median_ratio_1.3860_gt_1.2500;t1:missing_confirm_stats;t2:p50_ci_width_0.1252_gt_0.0500;p80_p20_1.1868_gt_1.1500;block_median_ratio_1.3860_gt_1.1000;drift_-0.0764_gt_0.0300;severe_block_median_ratio_1.3860_gt_1.2500;missing_confirm_stats;p50_ci_width_0.1252_gt_0.0500;p80_p20_1.1868_gt_1.1500;block_median_ratio_1.3860_gt_1.1000;drift_-0.0764_gt_0.0300;severe_block_median_ratio_1.3860_gt_1.2500
tquicperf	close_reset_cleanup	syscall	not_ready	streams_per_second	3	3	4	236585.551902		236585.551902	233563.871134	241678.969274	0.034301	244869.258652	247770.429497	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t4:outliers_1;persistent_outliers_1;t1:missing_confirm_stats;t2:missing_confirm_stats;t3:missing_confirm_stats;t4:outliers_1;persistent_outliers_1;missing_confirm_stats;outliers_1;persistent_outliers_1
tquicperf	connect	iouring	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1335_gt_0.0500;p80_p20_1.3226_gt_1.1500;block_median_ratio_1.2033_gt_1.1000;drift_-0.1100_gt_0.0300;severe_drift_-0.1100_gt_0.0800
tquicperf	connect	syscall	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1048_gt_0.0500;p80_p20_1.2846_gt_1.1500;block_median_ratio_1.2123_gt_1.1000;drift_0.1099_gt_0.0300;severe_drift_0.1099_gt_0.0800
tquicperf	datagram	iouring	not_ready	messages_per_second													0.000000	0.000000	unsupported	requires_quic_datagram_adapter_api
tquicperf	datagram	syscall	not_ready	messages_per_second													0.000000	0.000000	unsupported	requires_quic_datagram_adapter_api
tquicperf	download	iouring	not_ready	throughput_gbps	2	2	3	6.127426		6.127426	6.025399	6.182975	0.025717	6.255738	6.455749	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t3:p50_ci_width_0.0394_gt_0.0300;block_median_ratio_1.1380_gt_1.1000;drift_0.0430_gt_0.0300;persistent_drift_0.0430_gt_0.0300;t1:missing_confirm_stats;t2:missing_confirm_stats;t3:p50_ci_width_0.0394_gt_0.0300;block_median_ratio_1.1380_gt_1.1000;drift_0.0430_gt_0.0300;persistent_drift_0.0430_gt_0.0300;missing_confirm_stats;p50_ci_width_0.0394_gt_0.0300;block_median_ratio_1.1380_gt_1.1000;drift_0.0430_gt_0.0300;persistent_drift_0.0430_gt_0.0300
tquicperf	download	syscall	not_ready	throughput_gbps	5	5	7	6.790228	6.878393	6.800871	6.726012	6.844172	0.017374	6.945343	7.043595	insufficient_order_stat_support	1.000000	1.000000	ok	t1:confirm_p50_ci_width_0.0592_gt_0.0450;t2:confirm_p50_ci_width_0.0530_gt_0.0450;t3:confirm_p50_ci_width_0.0670_gt_0.0450;confirm_median_delta_0.0477_gt_0.0450;combined_warning_noisy;p50_ci_width_0.0609_gt_0.0300;t5:combined_not_ready_nonstationary;block_median_ratio_1.1122_gt_1.1000
tquicperf	flow_control	iouring	not_ready	throughput_gbps	1	1	2	3.151938		3.151938	3.107337	3.259413	0.048249	3.515158	3.870455	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.0812_gt_0.0500;block_median_ratio_1.1907_gt_1.1000;persistent_block_median_ratio_recent_1.1607_gt_1.1000;t1:missing_confirm_stats;t2:p50_ci_width_0.0812_gt_0.0500;block_median_ratio_1.1907_gt_1.1000;persistent_block_median_ratio_recent_1.1607_gt_1.1000;missing_confirm_stats;p50_ci_width_0.0812_gt_0.0500;block_median_ratio_1.1907_gt_1.1000;persistent_block_median_ratio_recent_1.1607_gt_1.1000
tquicperf	flow_control	syscall	not_ready	throughput_gbps	1	1	2	3.337628		3.337628	3.302535	3.435831	0.039937	3.728786	3.980837	insufficient_order_stat_support	1.000000	1.000000	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.1181_gt_0.0500;p80_p20_1.2182_gt_1.1500;block_median_ratio_1.2760_gt_1.1000;severe_block_median_ratio_1.2760_gt_1.2500;t1:missing_confirm_stats;t2:p50_ci_width_0.1181_gt_0.0500;p80_p20_1.2182_gt_1.1500;block_median_ratio_1.2760_gt_1.1000;severe_block_median_ratio_1.2760_gt_1.2500;missing_confirm_stats;p50_ci_width_0.1181_gt_0.0500;p80_p20_1.2182_gt_1.1500;block_median_ratio_1.2760_gt_1.1000;severe_block_median_ratio_1.2760_gt_1.2500
tquicperf	loss_recovery	iouring	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1194_gt_0.0800;p80_p20_1.2045_gt_1.1500;block_median_ratio_1.1713_gt_1.1000;persistent_block_median_ratio_recent_1.1713_gt_1.1000;persistent_p80_p20_recent_1.1784_gt_1.1500
tquicperf	loss_recovery	syscall	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0901_gt_0.0800;p80_p20_1.1883_gt_1.1500;block_median_ratio_1.1550_gt_1.1000;drift_-0.0765_gt_0.0300;persistent_drift_-0.0765_gt_0.0300
