binary	scenario	network	metric	client_threads	publication_role	discovery_status	confirm_status	combined_status	combined_samples	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	combined_p20_p80_ratio	publication_status	reason
lsperf	flow_control	syscall	throughput_gbps	2	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	30	4.991782	4.921681	5.305808	0.076952	1.226340	not_ready	p50_ci_width_0.0770_gt_0.0500;p80_p20_1.2263_gt_1.1500;block_median_ratio_1.2156_gt_1.1000;drift_0.0673_gt_0.0300;outliers_2;severe_outlier_blocks_2_gte_2;missing_confirm_stats;p50_ci_width_0.0770_gt_0.0500;p80_p20_1.2263_gt_1.1500;block_median_ratio_1.2156_gt_1.1000;drift_0.0673_gt_0.0300;outliers_2;severe_outlier_blocks_2_gte_2
lsperf	reqresp	iouring	requests_per_second	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	20	53597.866814	53249.268824	53840.535913	0.011032	1.020317	not_ready	missing_confirm_stats
lsperf	reqresp	iouring	requests_per_second	2	selected_saturation	ready	not_ready	ready	20	54187.868204	54139.241052	54911.081464	0.014244	1.025627	not_ready	missing_confirm_stats
lsperf	reqresp	iouring	requests_per_second	3	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	40	54458.397506	54046.629885	55148.122757	0.020226	1.066090	not_ready	block_median_ratio_1.1586_gt_1.1000;drift_-0.0661_gt_0.0300;persistent_drift_-0.0661_gt_0.0300;missing_confirm_stats;block_median_ratio_1.1586_gt_1.1000;drift_-0.0661_gt_0.0300;persistent_drift_-0.0661_gt_0.0300
lsperf	small_payload_pps	iouring	messages_per_second	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	20	58863.201956	57659.768847	59115.093363	0.024724	1.048566	not_ready	missing_confirm_stats
lsperf	small_payload_pps	iouring	messages_per_second	2	selected_saturation	ready	not_ready	ready	20	59112.339157	58618.304801	60041.558564	0.024077	1.028390	not_ready	missing_confirm_stats
lsperf	small_payload_pps	iouring	messages_per_second	3	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	75	59979.782596	59731.188652	60262.071746	0.008851	1.022528	not_ready	block_median_ratio_1.1642_gt_1.1000;outliers_2;severe_outlier_blocks_2_gte_2;missing_confirm_stats;block_median_ratio_1.1642_gt_1.1000;outliers_2;severe_outlier_blocks_2_gte_2
lsperf	small_payload_pps	syscall	messages_per_second	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	20	187897.722530	186519.622174	188649.785113	0.011337	1.013460	not_ready	missing_confirm_stats
lsperf	small_payload_pps	syscall	messages_per_second	2	selected_saturation	ready	not_ready	ready	20	224511.538851	221180.859003	225304.686635	0.018368	1.025711	not_ready	missing_confirm_stats
lsperf	small_payload_pps	syscall	messages_per_second	3	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	30	236845.838892	235946.313304	264185.274371	0.119229	1.137926	not_ready	p50_ci_width_0.1192_gt_0.0500;block_median_ratio_1.1460_gt_1.1000;drift_-0.0973_gt_0.0300;severe_drift_-0.0973_gt_0.0800;missing_confirm_stats;p50_ci_width_0.1192_gt_0.0500;block_median_ratio_1.1460_gt_1.1000;drift_-0.0973_gt_0.0300;severe_drift_-0.0973_gt_0.0800
lsperf	stream_churn	iouring	streams_per_second	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	20	58178.541666	56529.062625	59051.715626	0.043361	1.049639	not_ready	missing_confirm_stats
lsperf	stream_churn	iouring	streams_per_second	2	pre_saturation	ready	not_ready	ready	20	59081.864287	58441.954709	59679.044249	0.020939	1.033171	not_ready	missing_confirm_stats
lsperf	stream_churn	iouring	streams_per_second	3	selected_saturation	ready	not_ready	ready	20	59923.401869	59284.492938	60416.198021	0.018886	1.028493	not_ready	missing_confirm_stats
lsperf	stream_churn	iouring	streams_per_second	4	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	35	60400.866216	60234.596105	60770.496304	0.008872	1.023285	not_ready	block_median_ratio_1.1761_gt_1.1000;outliers_5;severe_outlier_blocks_3_gte_2;missing_confirm_stats;block_median_ratio_1.1761_gt_1.1000;outliers_5;severe_outlier_blocks_3_gte_2
lsperf	stream_churn	syscall	streams_per_second	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	20	188558.315829	187840.590485	189522.279278	0.008919	1.010279	not_ready	missing_confirm_stats
lsperf	stream_churn	syscall	streams_per_second	2	selected_saturation	ready	not_ready	ready	20	223367.851029	221181.211391	226658.723914	0.024522	1.030085	not_ready	missing_confirm_stats
lsperf	stream_churn	syscall	streams_per_second	3	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	40	237702.845514	234684.540610	239941.214402	0.022114	1.027953	not_ready	block_median_ratio_1.1536_gt_1.1000;persistent_block_median_ratio_recent_1.1536_gt_1.1000;missing_confirm_stats;block_median_ratio_1.1536_gt_1.1000;persistent_block_median_ratio_recent_1.1536_gt_1.1000
mvfstperf	close_reset_cleanup	iouring	streams_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	25	6628.854532	6519.971385	6704.932757	0.027902	1.088521	not_ready	missing_confirm_stats
mvfstperf	close_reset_cleanup	iouring	streams_per_second	2	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	50	7016.695578	6828.421776	7133.029102	0.043412	1.095193	not_ready	block_median_ratio_1.1614_gt_1.1000;persistent_block_median_ratio_recent_1.1576_gt_1.1000;missing_confirm_stats;block_median_ratio_1.1614_gt_1.1000;persistent_block_median_ratio_recent_1.1576_gt_1.1000
mvfstperf	close_reset_cleanup	syscall	streams_per_second	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	20	6994.037865	6965.689760	7084.447502	0.016980	1.051193	not_ready	missing_confirm_stats
mvfstperf	close_reset_cleanup	syscall	streams_per_second	2	pre_saturation	ready	not_ready	ready	25	7275.619848	7274.613040	7282.542878	0.001090	1.023189	not_ready	missing_confirm_stats
mvfstperf	close_reset_cleanup	syscall	streams_per_second	3	selected_saturation	ready	not_ready	ready	20	8844.575006	8789.307736	8924.709292	0.015309	1.022843	not_ready	missing_confirm_stats
mvfstperf	close_reset_cleanup	syscall	streams_per_second	4	plateau_sentinel+post_selected	not_ready_max_samples	not_ready	not_ready_max_samples	120	11164.950239	11090.468922	11230.541805	0.012546	1.048061	not_ready	block_median_ratio_1.1678_gt_1.1000;missing_confirm_stats;block_median_ratio_1.1678_gt_1.1000
mvfstperf	download	iouring	throughput_gbps	1	baseline_1c1s+pre_saturation	ready	ready	ready	30	4.433687	4.378144	4.457624	0.017926	1.044576	ready	-
mvfstperf	download	iouring	throughput_gbps	2	selected_saturation	ready	ready	ready	30	4.524041	4.506526	4.554593	0.010625	1.030970	ready	-
mvfstperf	download	iouring	throughput_gbps	4	plateau_sentinel+post_selected	ready	ready	ready	30	4.447810	4.399446	4.490318	0.020431	1.023824	ready	-
mvfstperf	download	syscall	throughput_gbps	1	baseline_1c1s+pre_saturation	ready	ready	ready	40	4.890294	4.830308	4.960806	0.026685	1.060116	ready	-
mvfstperf	download	syscall	throughput_gbps	2	selected_saturation	ready	ready	ready	30	4.999608	4.980563	5.045169	0.012922	1.027669	ready	-
mvfstperf	download	syscall	throughput_gbps	4	plateau_sentinel+post_selected	ready	ready	ready	30	4.946362	4.924737	4.985392	0.012262	1.023672	ready	-
mvfstperf	flow_control	iouring	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	30	3.023152	2.992486	3.075444	0.027441	1.089212	not_ready	missing_confirm_stats
mvfstperf	flow_control	iouring	throughput_gbps	2	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	30	3.124371	3.066501	3.272616	0.065970	1.107321	not_ready	p50_ci_width_0.0660_gt_0.0500;block_median_ratio_1.1083_gt_1.1000;drift_0.0970_gt_0.0300;severe_drift_0.0970_gt_0.0800;missing_confirm_stats;p50_ci_width_0.0660_gt_0.0500;block_median_ratio_1.1083_gt_1.1000;drift_0.0970_gt_0.0300;severe_drift_0.0970_gt_0.0800
mvfstperf	flow_control	syscall	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	30	3.447744	3.440846	3.517995	0.022377	1.080453	not_ready	missing_confirm_stats
mvfstperf	flow_control	syscall	throughput_gbps	2	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	45	3.738553	3.560365	3.903291	0.091727	1.125711	not_ready	p50_ci_width_0.0917_gt_0.0500;block_median_ratio_1.1799_gt_1.1000;persistent_block_median_ratio_recent_1.1681_gt_1.1000;missing_confirm_stats;p50_ci_width_0.0917_gt_0.0500;block_median_ratio_1.1799_gt_1.1000;persistent_block_median_ratio_recent_1.1681_gt_1.1000
mvfstperf	loss_recovery	iouring	throughput_gbps	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	20	3.669849	3.612085	3.755426	0.039059	1.081110	not_ready	missing_confirm_stats
mvfstperf	loss_recovery	iouring	throughput_gbps	2	pre_saturation	ready	not_ready	ready	20	3.640154	3.586410	3.724067	0.037816	1.059032	not_ready	missing_confirm_stats
mvfstperf	loss_recovery	iouring	throughput_gbps	3	pre_saturation	ready	not_ready	ready	20	3.726678	3.647214	3.779679	0.035545	1.060038	not_ready	missing_confirm_stats
mvfstperf	loss_recovery	iouring	throughput_gbps	4	pre_saturation	ready	not_ready	ready	30	3.739463	3.653371	3.757510	0.027849	1.061575	not_ready	missing_confirm_stats
mvfstperf	loss_recovery	iouring	throughput_gbps	5	selected_saturation	ready	not_ready	ready	20	3.803908	3.781605	3.915861	0.035294	1.116718	not_ready	missing_confirm_stats
mvfstperf	loss_recovery	iouring	throughput_gbps	6	plateau_sentinel+post_selected	not_ready_max_samples	not_ready	not_ready_max_samples	120	3.801629	3.785687	3.829891	0.011628	1.135937	not_ready	block_median_ratio_1.1194_gt_1.1000;missing_confirm_stats;block_median_ratio_1.1194_gt_1.1000
mvfstperf	loss_recovery	syscall	throughput_gbps	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	20	4.180639	4.122326	4.206300	0.020086	1.115547	not_ready	missing_confirm_stats
mvfstperf	loss_recovery	syscall	throughput_gbps	2	pre_saturation	ready	not_ready	ready	20	4.178923	4.003425	4.220390	0.051919	1.072313	not_ready	missing_confirm_stats
mvfstperf	loss_recovery	syscall	throughput_gbps	3	selected_saturation	ready	not_ready	ready	20	4.196781	4.125102	4.245420	0.028669	1.059531	not_ready	missing_confirm_stats
mvfstperf	loss_recovery	syscall	throughput_gbps	4	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	30	4.340448	4.206549	4.769839	0.129777	1.145215	not_ready	p50_ci_width_0.1298_gt_0.0800;block_median_ratio_1.1670_gt_1.1000;drift_-0.1103_gt_0.0300;severe_drift_-0.1103_gt_0.0800;missing_confirm_stats;p50_ci_width_0.1298_gt_0.0800;block_median_ratio_1.1670_gt_1.1000;drift_-0.1103_gt_0.0300;severe_drift_-0.1103_gt_0.0800
mvfstperf	multistream_download	iouring	throughput_gbps	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	20	3.681921	3.661375	3.705154	0.011890	1.069265	not_ready	missing_confirm_stats
mvfstperf	multistream_download	iouring	throughput_gbps	2	pre_saturation	ready	not_ready	ready	20	3.753751	3.721102	3.798940	0.020736	1.040967	not_ready	missing_confirm_stats
mvfstperf	multistream_download	iouring	throughput_gbps	3	selected_saturation	ready	not_ready	ready	35	3.851342	3.803359	3.911399	0.028053	1.105203	not_ready	missing_confirm_stats
mvfstperf	multistream_download	iouring	throughput_gbps	4	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	40	3.805564	3.722304	3.857881	0.035626	1.058485	not_ready	p50_ci_width_0.0356_gt_0.0300;drift_0.0328_gt_0.0300;persistent_drift_0.0328_gt_0.0300;missing_confirm_stats;p50_ci_width_0.0356_gt_0.0300;drift_0.0328_gt_0.0300;persistent_drift_0.0328_gt_0.0300
mvfstperf	reqresp	syscall	requests_per_second	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	20	7083.984044	6991.336362	7226.355026	0.033176	1.057638	not_ready	missing_confirm_stats
mvfstperf	reqresp	syscall	requests_per_second	2	pre_saturation	ready	not_ready	ready	20	7243.583452	7129.700583	7305.402718	0.024256	1.031991	not_ready	missing_confirm_stats
mvfstperf	reqresp	syscall	requests_per_second	3	selected_saturation	ready	not_ready	ready	20	8859.211388	8714.055900	8989.548860	0.031097	1.054201	not_ready	missing_confirm_stats
mvfstperf	reqresp	syscall	requests_per_second	4	plateau_sentinel+post_selected	not_ready_max_samples	not_ready	not_ready_max_samples	120	11130.246430	11102.316296	11204.619533	0.009191	1.041126	not_ready	block_median_ratio_1.1235_gt_1.1000;missing_confirm_stats;block_median_ratio_1.1235_gt_1.1000
mvfstperf	small_payload_pps	iouring	messages_per_second	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	20	6737.841132	6571.746221	6857.993290	0.042483	1.059025	not_ready	missing_confirm_stats
mvfstperf	small_payload_pps	iouring	messages_per_second	2	pre_saturation	ready	not_ready	ready	30	7050.472782	6822.896845	7126.966756	0.043128	1.087473	not_ready	missing_confirm_stats
mvfstperf	small_payload_pps	iouring	messages_per_second	3	selected_saturation	ready	not_ready	ready	25	8591.893195	8422.486671	8817.337977	0.045956	1.136807	not_ready	missing_confirm_stats
mvfstperf	small_payload_pps	iouring	messages_per_second	4	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	80	10860.684000	10692.108873	10921.135145	0.021088	1.085076	not_ready	block_median_ratio_1.1792_gt_1.1000;persistent_block_median_ratio_recent_1.1073_gt_1.1000;missing_confirm_stats;block_median_ratio_1.1792_gt_1.1000;persistent_block_median_ratio_recent_1.1073_gt_1.1000
mvfstperf	small_payload_pps	syscall	messages_per_second	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	20	7024.843017	6942.599986	7116.099766	0.024698	1.040741	not_ready	missing_confirm_stats
mvfstperf	small_payload_pps	syscall	messages_per_second	2	selected_saturation	ready	not_ready	ready	20	7275.219064	7259.966000	7298.136736	0.005247	1.015849	not_ready	missing_confirm_stats
mvfstperf	small_payload_pps	syscall	messages_per_second	3	plateau_sentinel+post_selected	not_ready_max_samples	not_ready	not_ready_max_samples	120	8887.349742	8830.435741	8929.848013	0.011186	1.047530	not_ready	block_median_ratio_1.1667_gt_1.1000;missing_confirm_stats;block_median_ratio_1.1667_gt_1.1000
mvfstperf	stream_churn	iouring	streams_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	20	6620.259129	6529.823935	6698.033742	0.025408	1.035935	not_ready	missing_confirm_stats
mvfstperf	stream_churn	iouring	streams_per_second	2	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	110	7007.677166	6952.508443	7045.161234	0.013222	1.088454	not_ready	block_median_ratio_1.1305_gt_1.1000;persistent_block_median_ratio_recent_1.1040_gt_1.1000;missing_confirm_stats;block_median_ratio_1.1305_gt_1.1000;persistent_block_median_ratio_recent_1.1040_gt_1.1000
mvfstperf	stream_churn	syscall	streams_per_second	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	20	7025.605678	6956.287329	7077.546192	0.017260	1.049818	not_ready	missing_confirm_stats
mvfstperf	stream_churn	syscall	streams_per_second	2	selected_saturation	ready	not_ready	ready	20	7185.567850	7132.062696	7347.818022	0.030026	1.039130	not_ready	missing_confirm_stats
mvfstperf	stream_churn	syscall	streams_per_second	3	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	40	8880.905085	8821.525312	9701.431756	0.099078	1.109641	not_ready	p50_ci_width_0.0991_gt_0.0500;block_median_ratio_1.1399_gt_1.1000;persistent_block_median_ratio_recent_1.1399_gt_1.1000;missing_confirm_stats;p50_ci_width_0.0991_gt_0.0500;block_median_ratio_1.1399_gt_1.1000;persistent_block_median_ratio_recent_1.1399_gt_1.1000
neqoperf	close_reset_cleanup	iouring	streams_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	20	18278.432993	18022.675293	18462.014661	0.024036	1.039528	not_ready	missing_confirm_stats
neqoperf	close_reset_cleanup	iouring	streams_per_second	2	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	30	21465.524556	21369.721071	22097.744788	0.033916	1.912220	not_ready	p80_p20_1.9122_gt_1.1500;block_median_ratio_1.1055_gt_1.1000;drift_0.0644_gt_0.0300;severe_p80_p20_1.9122_gt_1.5000;missing_confirm_stats;p80_p20_1.9122_gt_1.1500;block_median_ratio_1.1055_gt_1.1000;drift_0.0644_gt_0.0300;severe_p80_p20_1.9122_gt_1.5000
neqoperf	close_reset_cleanup	syscall	streams_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	20	20712.167155	20602.326312	20782.599639	0.008704	1.037987	not_ready	missing_confirm_stats
neqoperf	close_reset_cleanup	syscall	streams_per_second	2	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	30	23254.889263	22888.059107	23438.176830	0.023656	1.961598	not_ready	p80_p20_1.9616_gt_1.1500;outliers_7;severe_p80_p20_1.9616_gt_1.5000;severe_outlier_blocks_5_gte_2;missing_confirm_stats;p80_p20_1.9616_gt_1.1500;outliers_7;severe_p80_p20_1.9616_gt_1.5000;severe_outlier_blocks_5_gte_2
neqoperf	datagram	iouring	messages_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	not_ready_nonstationary	30	97343.002207	96569.322851	99287.522218	0.027924	1.066712	not_ready	confirm_p50_ci_width_0.1234_gt_0.0750;combined_not_ready_nonstationary;block_median_ratio_1.1613_gt_1.1000
neqoperf	datagram	iouring	messages_per_second	3	plateau_sentinel+post_selected	ready	not_ready	not_ready_nonstationary	40	71074.983703	69777.417534	75167.462315	0.075836	1.116552	not_ready	confirm_median_delta_0.0828_gt_0.0750;combined_not_ready_nonstationary;p50_ci_width_0.0758_gt_0.0500;block_median_ratio_1.1034_gt_1.1000
neqoperf	datagram	syscall	messages_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	not_ready_nonstationary	40	110977.525152	110529.571226	112607.022199	0.018720	1.083734	not_ready	confirm_p50_ci_width_0.1436_gt_0.0750;confirm_p80_p20_1.1657_gt_1.1500;combined_not_ready_nonstationary;block_median_ratio_1.1511_gt_1.1000
neqoperf	datagram	syscall	messages_per_second	3	plateau_sentinel+post_selected	ready	ready	ready	30	79530.326651	77962.443420	80423.839919	0.030949	1.062376	ready	-
neqoperf	download	iouring	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	ready	ready	35	3.146909	3.089624	3.166270	0.024356	1.043193	ready	-
neqoperf	download	iouring	throughput_gbps	3	plateau_sentinel+post_selected	ready	ready	ready	30	2.616999	2.608435	2.648121	0.015165	1.035242	ready	-
neqoperf	download	syscall	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	not_ready	not_ready_high_variance	45	3.293763	3.245162	3.357153	0.034001	1.075984	not_ready	confirm_median_delta_0.0477_gt_0.0450;combined_not_ready_high_variance;p50_ci_width_0.0340_gt_0.0300;drift_-0.0458_gt_0.0300;persistent_drift_-0.0458_gt_0.0300
neqoperf	download	syscall	throughput_gbps	3	plateau_sentinel+post_selected	ready	ready	ready	30	2.801042	2.782116	2.811745	0.010578	1.036770	ready	-
neqoperf	loss_recovery	iouring	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	not_ready	not_ready_nonstationary	30	3.944249	3.821357	4.016186	0.049396	1.111594	not_ready	combined_not_ready_nonstationary;block_median_ratio_1.1166_gt_1.1000;drift_0.0455_gt_0.0300
neqoperf	loss_recovery	iouring	throughput_gbps	3	plateau_sentinel+post_selected	ready	ready	ready	30	3.473609	3.431310	3.496086	0.018648	1.066811	ready	-
neqoperf	loss_recovery	syscall	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	30	3.800555	3.743715	3.898065	0.040612	1.102048	not_ready	missing_confirm_stats
neqoperf	loss_recovery	syscall	throughput_gbps	2	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	40	3.760771	3.679050	3.893636	0.057059	1.105007	not_ready	block_median_ratio_1.1883_gt_1.1000;drift_0.0358_gt_0.0300;persistent_block_median_ratio_recent_1.1590_gt_1.1000;persistent_drift_0.0358_gt_0.0300;missing_confirm_stats;block_median_ratio_1.1883_gt_1.1000;drift_0.0358_gt_0.0300;persistent_block_median_ratio_recent_1.1590_gt_1.1000;persistent_drift_0.0358_gt_0.0300
neqoperf	multistream_download	iouring	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	20	2.693163	2.671976	2.716577	0.016561	1.039471	not_ready	missing_confirm_stats
neqoperf	multistream_download	iouring	throughput_gbps	3	plateau_sentinel+post_selected	not_ready_max_samples	not_ready	not_ready_max_samples	120	1.936033	1.924713	1.946152	0.011074	1.033294	not_ready	block_median_ratio_1.1556_gt_1.1000;missing_confirm_stats;block_median_ratio_1.1556_gt_1.1000
neqoperf	multistream_upload	iouring	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	25	2.743929	2.691431	2.759218	0.024704	1.101057	not_ready	missing_confirm_stats
neqoperf	multistream_upload	iouring	throughput_gbps	3	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	40	2.197858	2.141075	2.333954	0.087758	1.129703	not_ready	p50_ci_width_0.0878_gt_0.0300;block_median_ratio_1.2394_gt_1.1000;drift_0.0565_gt_0.0300;persistent_block_median_ratio_recent_1.1767_gt_1.1000;persistent_drift_0.0565_gt_0.0300;missing_confirm_stats;p50_ci_width_0.0878_gt_0.0300;block_median_ratio_1.2394_gt_1.1000;drift_0.0565_gt_0.0300;persistent_block_median_ratio_recent_1.1767_gt_1.1000;persistent_drift_0.0565_gt_0.0300
neqoperf	multistream_upload	syscall	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	not_ready	not_ready_nonstationary	30	2.960084	2.919037	3.036756	0.039769	1.065416	not_ready	confirm_p50_ci_width_0.1182_gt_0.0450;combined_not_ready_nonstationary;p50_ci_width_0.0398_gt_0.0300;block_median_ratio_1.1245_gt_1.1000
neqoperf	multistream_upload	syscall	throughput_gbps	3	plateau_sentinel+post_selected	ready	ready	ready	30	2.395321	2.371708	2.409799	0.015902	1.038770	ready	-
neqoperf	reqresp	iouring	requests_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	20	17952.885174	17856.428730	18266.493033	0.022841	1.042479	not_ready	missing_confirm_stats
neqoperf	reqresp	iouring	requests_per_second	2	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	30	21310.855897	21137.902198	21611.054063	0.022202	1.884101	not_ready	p80_p20_1.8841_gt_1.1500;outliers_7;severe_p80_p20_1.8841_gt_1.5000;severe_outlier_blocks_5_gte_2;missing_confirm_stats;p80_p20_1.8841_gt_1.1500;outliers_7;severe_p80_p20_1.8841_gt_1.5000;severe_outlier_blocks_5_gte_2
neqoperf	reqresp	syscall	requests_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	20	20353.927435	20195.258282	20494.055247	0.014680	1.025695	not_ready	missing_confirm_stats
neqoperf	reqresp	syscall	requests_per_second	2	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	30	23543.362352	23345.815859	23843.508217	0.021139	1.053362	not_ready	outliers_4;severe_outlier_blocks_4_gte_2;missing_confirm_stats;outliers_4;severe_outlier_blocks_4_gte_2
neqoperf	small_payload_pps	iouring	messages_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	20	18054.953771	17869.952860	18447.026552	0.031962	1.045046	not_ready	missing_confirm_stats
neqoperf	small_payload_pps	iouring	messages_per_second	2	plateau_sentinel+post_selected	not_ready_high_variance	not_ready	not_ready_high_variance	30	21557.919192	21332.222947	21818.332826	0.022549	1.998655	not_ready	p80_p20_1.9987_gt_1.1500;block_median_ratio_2.0976_gt_1.1000;severe_block_median_ratio_2.0976_gt_1.2500;severe_p80_p20_1.9987_gt_1.5000;missing_confirm_stats;p80_p20_1.9987_gt_1.1500;block_median_ratio_2.0976_gt_1.1000;severe_block_median_ratio_2.0976_gt_1.2500;severe_p80_p20_1.9987_gt_1.5000
neqoperf	small_payload_pps	syscall	messages_per_second	1	baseline_1c1s+selected_saturation	ready	not_ready	ready	20	20212.727779	19981.019519	20465.758506	0.023982	1.035898	not_ready	missing_confirm_stats
