binary	scenario	network	metric	selected_threads	best_threads	boundary_threads	selection_probability_within_tolerance	best_p50	selected_p50	selected_vs_best_ratio	selected_vs_best_ci95_low	selected_vs_best_ci95_high	plateau_sentinel_count	edge_status	decision_status	reason
picoperf	loss_recovery	iouring	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1812_gt_0.0800;p80_p20_1.2430_gt_1.1500;block_median_ratio_1.2743_gt_1.1000;drift_-0.0655_gt_0.0300;severe_block_median_ratio_1.2743_gt_1.2500
picoperf	loss_recovery	syscall	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1749_gt_0.0800;p80_p20_1.3572_gt_1.1500;block_median_ratio_1.2342_gt_1.1000;drift_0.1976_gt_0.0300;severe_drift_0.1976_gt_0.0800
picoperf	multistream_download	iouring	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1739_gt_0.0300;p80_p20_1.4242_gt_1.1500;block_median_ratio_1.2509_gt_1.1000;drift_0.0877_gt_0.0300;severe_block_median_ratio_1.2509_gt_1.2500;severe_drift_0.0877_gt_0.0800
picoperf	multistream_download	syscall	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1361_gt_0.0300;p80_p20_1.3250_gt_1.1500;block_median_ratio_1.2648_gt_1.1000;severe_block_median_ratio_1.2648_gt_1.2500
picoperf	multistream_upload	iouring	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.2859_gt_0.0300;p80_p20_1.3964_gt_1.1500;block_median_ratio_1.3870_gt_1.1000;drift_-0.2561_gt_0.0300;severe_block_median_ratio_1.3870_gt_1.2500;severe_drift_-0.2561_gt_0.0800
picoperf	multistream_upload	syscall	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.2463_gt_0.0300;p80_p20_1.3329_gt_1.1500;block_median_ratio_1.3314_gt_1.1000;drift_-0.0772_gt_0.0300;severe_block_median_ratio_1.3314_gt_1.2500
picoperf	reqresp	iouring	requests_per_second	1	1	2	1.000000	213560.392134	213560.392134	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t2:outliers_2;severe_outlier_blocks_2_gte_2
picoperf	reqresp	syscall	requests_per_second	2	2	3	1.000000	260743.987654	260743.987654	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t3:p50_ci_width_0.0778_gt_0.0500;block_median_ratio_1.1128_gt_1.1000;drift_-0.0310_gt_0.0300;persistent_drift_-0.0310_gt_0.0300
picoperf	small_payload_pps	iouring	messages_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:outliers_1;persistent_outliers_1
picoperf	small_payload_pps	syscall	messages_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1058_gt_0.0500;p80_p20_1.2387_gt_1.1500;block_median_ratio_1.2131_gt_1.1000;drift_0.0337_gt_0.0300;persistent_block_median_ratio_recent_1.1973_gt_1.1000;persistent_p80_p20_recent_1.2187_gt_1.1500;persistent_drift_0.0337_gt_0.0300
picoperf	stream_churn	iouring	streams_per_second	3	3	4	1.000000	610128.671017	610128.671017	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t4:outliers_1;persistent_outliers_1
picoperf	stream_churn	syscall	streams_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p80_p20_1.2339_gt_1.1500;block_median_ratio_1.2411_gt_1.1000;outliers_4;severe_outlier_blocks_3_gte_2
picoperf	upload	iouring	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0336_gt_0.0300;drift_0.0468_gt_0.0300;persistent_drift_0.0468_gt_0.0300
picoperf	upload	syscall	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0769_gt_0.0300;block_median_ratio_1.2417_gt_1.1000;drift_-0.0545_gt_0.0300;persistent_block_median_ratio_recent_1.1756_gt_1.1000;persistent_drift_-0.0545_gt_0.0300
quicheperf	bidi	iouring	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1542_gt_0.0300;p80_p20_1.2336_gt_1.1500;block_median_ratio_1.2683_gt_1.1000;drift_0.0968_gt_0.0300;severe_block_median_ratio_1.2683_gt_1.2500;severe_drift_0.0968_gt_0.0800
quicheperf	bidi	syscall	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0376_gt_0.0300;p80_p20_1.1641_gt_1.1500;block_median_ratio_1.1525_gt_1.1000;persistent_p80_p20_recent_1.1743_gt_1.1500
