scenario	network	path_profile	metric	binary_a	binary_b	a_p50	b_p50	a_vs_b_median_ratio	a_vs_b_ci95_low	a_vs_b_ci95_high	relation
bidi	syscall	loopback	throughput_gbps	lsperf	noqperf	13.660326	3.593724	3.801162	3.696274	3.873088	win
bidi	syscall	loopback	throughput_gbps	lsperf	picoperf	13.660326	5.662375	2.412473	2.341409	2.489246	win
bidi	syscall	loopback	throughput_gbps	lsperf	quicheperf	13.660326	11.215272	1.218011	1.194358	1.239342	win
bidi	syscall	loopback	throughput_gbps	lsperf	quiczigperf	13.660326	9.986950	1.367818	1.341256	1.390159	win
bidi	syscall	loopback	throughput_gbps	lsperf	quinnperf	13.660326	4.154819	3.287827	3.219695	3.341458	win
bidi	syscall	loopback	throughput_gbps	lsperf	s2nperf	13.660326	5.444185	2.509159	2.432437	2.608725	win
bidi	syscall	loopback	throughput_gbps	lsperf	tquicperf	13.660326	8.769929	1.557632	1.455802	1.613868	win
bidi	syscall	loopback	throughput_gbps	lsperf	xquicperf	13.660326	2.399387	5.693258	5.534232	5.823399	win
bidi	syscall	loopback	throughput_gbps	mvfstperf	neqoperf	7.106621	3.307537	2.148614	2.129413	2.196282	win
bidi	syscall	loopback	throughput_gbps	mvfstperf	ngtcp2perf	7.106621	19.950268	0.356217	0.350819	0.360850	loss
bidi	syscall	loopback	throughput_gbps	mvfstperf	noqperf	7.106621	3.593724	1.977509	1.951259	2.000039	win
bidi	syscall	loopback	throughput_gbps	mvfstperf	picoperf	7.106621	5.662375	1.255060	1.236027	1.285431	win
bidi	syscall	loopback	throughput_gbps	mvfstperf	quicheperf	7.106621	11.215272	0.633656	0.630500	0.639989	loss
bidi	syscall	loopback	throughput_gbps	mvfstperf	quiczigperf	7.106621	9.986950	0.711591	0.708047	0.717870	loss
bidi	syscall	loopback	throughput_gbps	mvfstperf	quinnperf	7.106621	4.154819	1.710453	1.699673	1.725509	win
bidi	syscall	loopback	throughput_gbps	mvfstperf	s2nperf	7.106621	5.444185	1.305360	1.284080	1.347130	win
bidi	syscall	loopback	throughput_gbps	mvfstperf	tquicperf	7.106621	8.769929	0.810340	0.768516	0.833391	loss
bidi	syscall	loopback	throughput_gbps	mvfstperf	xquicperf	7.106621	2.399387	2.961849	2.921515	3.007168	win
bidi	syscall	loopback	throughput_gbps	neqoperf	ngtcp2perf	3.307537	19.950268	0.165789	0.161936	0.167155	loss
bidi	syscall	loopback	throughput_gbps	neqoperf	noqperf	3.307537	3.593724	0.920365	0.900688	0.926469	loss
bidi	syscall	loopback	throughput_gbps	neqoperf	picoperf	3.307537	5.662375	0.584125	0.570542	0.595444	loss
bidi	syscall	loopback	throughput_gbps	neqoperf	quicheperf	3.307537	11.215272	0.294914	0.291035	0.296459	loss
bidi	syscall	loopback	throughput_gbps	neqoperf	quiczigperf	3.307537	9.986950	0.331186	0.326830	0.332535	loss
bidi	syscall	loopback	throughput_gbps	neqoperf	quinnperf	3.307537	4.154819	0.796073	0.784558	0.799300	loss
bidi	syscall	loopback	throughput_gbps	neqoperf	s2nperf	3.307537	5.444185	0.607536	0.592723	0.624025	loss
bidi	syscall	loopback	throughput_gbps	neqoperf	tquicperf	3.307537	8.769929	0.377145	0.354742	0.386048	loss
bidi	syscall	loopback	throughput_gbps	neqoperf	xquicperf	3.307537	2.399387	1.378493	1.348552	1.392997	win
bidi	syscall	loopback	throughput_gbps	ngtcp2perf	noqperf	19.950268	3.593724	5.551420	5.481956	5.623508	win
bidi	syscall	loopback	throughput_gbps	ngtcp2perf	picoperf	19.950268	5.662375	3.523304	3.472551	3.614246	win
bidi	syscall	loopback	throughput_gbps	ngtcp2perf	quicheperf	19.950268	11.215272	1.778848	1.771357	1.799455	win
bidi	syscall	loopback	throughput_gbps	ngtcp2perf	quiczigperf	19.950268	9.986950	1.997634	1.989221	2.018433	win
bidi	syscall	loopback	throughput_gbps	ngtcp2perf	quinnperf	19.950268	4.154819	4.801718	4.775140	4.851611	win
bidi	syscall	loopback	throughput_gbps	ngtcp2perf	s2nperf	19.950268	5.444185	3.664510	3.607555	3.787723	win
bidi	syscall	loopback	throughput_gbps	ngtcp2perf	tquicperf	19.950268	8.769929	2.274849	2.159105	2.343246	win
