binary	scenario	network	path_profile	tier	publication_eligible	status	reason	calibrated	workload_kind	selected_work_units	probe_work_units	target_duration_sec	calibration_duration_sec	timeout_sec	env_overrides
ngtcp2perf	bidi	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	0.134179	15	QUICPERF_BIDI_TEST_BYTES=67108864
ngtcp2perf	bidi	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	0.136931	15	QUICPERF_BIDI_TEST_BYTES=67108864
ngtcp2perf	close_reset_cleanup	iouring	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
ngtcp2perf	close_reset_cleanup	syscall	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
ngtcp2perf	connect	iouring	loopback	publication	1	ok	fixed_workload	0	fixed	1073741824	0	5.000000	0.000000	30	
ngtcp2perf	connect	syscall	loopback	publication	1	ok	fixed_workload	0	fixed	1073741824	0	5.000000	0.000000	30	
ngtcp2perf	datagram	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	operations	4096	1024	5.000000	1.071535	15	QUICPERF_SCENARIO_OPERATIONS=4096
ngtcp2perf	datagram	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	operations	4096	1024	5.000000	1.069215	15	QUICPERF_SCENARIO_OPERATIONS=4096
ngtcp2perf	download	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	0.204641	15	QUICPERF_TEST_BYTES=67108864
ngtcp2perf	download	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	0.203068	15	QUICPERF_TEST_BYTES=67108864
ngtcp2perf	flow_control	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;max_work_units	1	bytes	16777216	16777216	5.000000	0.180579	15	QUICPERF_FLOW_CONTROL_TEST_BYTES=16777216
