binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	publication_role	discovery_status	confirm_status	combined_status	combined_samples	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	combined_p20_p80_ratio	publication_status	reason
lsperf	multistream_upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	5	selected_saturation	converged	converged	converged	20	14.567251	12.810074	21.425151	0.591400	1.718857	converged	p50_ci_width_0.5914_gt_0.0300;p80_p20_1.7189_gt_1.1500;block_median_ratio_1.6725_gt_1.1000;confirm_disabled;p50_ci_width_0.5914_gt_0.0300;p80_p20_1.7189_gt_1.1500;block_median_ratio_1.6725_gt_1.1000
lsperf	multistream_upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	6	plateau_sentinel+post_selected	converged	converged	converged	20	13.925351	13.909911	14.166971	0.018460	1.847592	converged	p80_p20_1.8476_gt_1.1500;confirm_disabled;p80_p20_1.8476_gt_1.1500
lsperf	reqresp	iouring	loopback	lifecycle	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	requests_per_second	1	baseline_1c1s+selected_saturation+plateau_sentinel	not_ready	converged	not_ready	2	8769.579712	8738.825803	8800.333622	0.007014	1.004217	converged	blocks_1_lt_2;samples_2_lt_20;lifecycle_tier_smoke_only;blocks_1_lt_2;samples_2_lt_20
lsperf	reqresp	syscall	loopback	lifecycle	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	requests_per_second	1	baseline_1c1s+selected_saturation+plateau_sentinel	not_ready	converged	not_ready	2	79733.273568	9691.962275	149774.584862	1.756890	3.228930	converged	blocks_1_lt_2;samples_2_lt_20;p80_p20_3.2289_gt_1.1500;lifecycle_tier_smoke_only;blocks_1_lt_2;samples_2_lt_20;p80_p20_3.2289_gt_1.1500
lsperf	resumed_connect	iouring	loopback	capability	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+selected_saturation+plateau_sentinel	not_ready	converged	not_ready	2	3071.724818	2894.280612	3249.169025	0.115534	1.071809	converged	blocks_1_lt_2;samples_2_lt_20;capability_tier_smoke_only;blocks_1_lt_2;samples_2_lt_20
lsperf	resumed_connect	syscall	loopback	capability	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+selected_saturation+plateau_sentinel	not_ready	converged	not_ready	2	2256.244316	2093.114282	2419.374350	0.144603	1.090696	converged	blocks_1_lt_2;samples_2_lt_20;capability_tier_smoke_only;blocks_1_lt_2;samples_2_lt_20
lsperf	small_payload_pps	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	messages_per_second	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	32939.523730	32830.266543	32990.982482	0.004879	1.024611	converged	outliers_4;confirm_disabled;outliers_4
lsperf	small_payload_pps	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	messages_per_second	2	plateau_sentinel+post_selected	converged	converged	converged	20	30711.138748	30695.165540	30748.316260	0.001731	1.006997	converged	outliers_1;confirm_disabled;outliers_1
lsperf	small_payload_pps	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	messages_per_second	1	baseline_1c1s+selected_saturation	converged	converged	converged	20	91119.913021	90303.257800	91989.229110	0.018503	1.023707	converged	confirm_disabled
lsperf	small_payload_pps	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	messages_per_second	2	plateau_sentinel+post_selected	converged	converged	converged	20	74752.228675	74654.266348	74979.573503	0.004352	1.009131	converged	outliers_3;confirm_disabled;outliers_3
