binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	curve_role	phase	samples	blocks	p50	p90	p99	p99_status	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	convergence_status	reason
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	6	pre_saturation	combined	20	2	6332.669133	5996.591869	5486.045178	insufficient_order_stat_support	6263.835504	6534.369344	0.042720	6088.348221	6729.816755	1.105360	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	7	pre_saturation	discovery	20	2	6425.673378	6288.981473	6249.160900	insufficient_order_stat_support	6398.270619	6452.894177	0.008501	6340.512956	6503.782339	1.025750	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	7	pre_saturation	combined	20	2	6425.673378	6288.981473	6249.160900	insufficient_order_stat_support	6398.270619	6452.894177	0.008501	6340.512956	6503.782339	1.025750	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	8	pre_saturation	discovery	20	2	7004.403992	6702.357040	6417.801938	insufficient_order_stat_support	6913.280432	7026.442679	0.016156	6853.981411	7091.806723	1.034699	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	8	pre_saturation	combined	20	2	7004.403992	6702.357040	6417.801938	insufficient_order_stat_support	6913.280432	7026.442679	0.016156	6853.981411	7091.806723	1.034699	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	9	pre_saturation	discovery	20	2	7190.976809	6614.946363	6527.634524	insufficient_order_stat_support	7126.112759	7312.488699	0.025918	6950.188259	7484.542149	1.076883	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	9	pre_saturation	combined	20	2	7190.976809	6614.946363	6527.634524	insufficient_order_stat_support	7126.112759	7312.488699	0.025918	6950.188259	7484.542149	1.076883	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	10	pre_saturation	discovery	20	2	7515.720364	7123.114289	6958.952604	insufficient_order_stat_support	7479.997097	7629.512579	0.019894	7263.811056	7690.122918	1.058690	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	10	pre_saturation	combined	20	2	7515.720364	7123.114289	6958.952604	insufficient_order_stat_support	7479.997097	7629.512579	0.019894	7263.811056	7690.122918	1.058690	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	11	pre_saturation	discovery	20	2	7796.796810	7461.962897	7134.643794	insufficient_order_stat_support	7747.855252	7805.133462	0.007346	7577.396215	7965.466845	1.051214	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	11	pre_saturation	combined	20	2	7796.796810	7461.962897	7134.643794	insufficient_order_stat_support	7747.855252	7805.133462	0.007346	7577.396215	7965.466845	1.051214	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	12	pre_saturation	discovery	20	2	7995.692082	7716.490616	7460.856965	insufficient_order_stat_support	7944.042547	8126.465918	0.022815	7888.530901	8344.024578	1.057741	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	12	pre_saturation	combined	20	2	7995.692082	7716.490616	7460.856965	insufficient_order_stat_support	7944.042547	8126.465918	0.022815	7888.530901	8344.024578	1.057741	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	13	pre_saturation	discovery	20	2	8104.221935	7690.574476	7580.528632	insufficient_order_stat_support	8064.902820	8134.781878	0.008623	7994.239140	8293.393563	1.037421	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	13	pre_saturation	combined	20	2	8104.221935	7690.574476	7580.528632	insufficient_order_stat_support	8064.902820	8134.781878	0.008623	7994.239140	8293.393563	1.037421	converged	
