binary	scenario	network	path_profile	client_threads	metric	phase	samples	blocks	median	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	mad_relative	block_median_ratio	drift_relative	lag1_autocorr	outlier_count	convergence_status	reason
lsperf	connect	syscall	loopback	3	connections_per_second	discovery	20	2	2951.400072	2743.595043	2981.441814	0.080588	2611.980078	3032.554757	1.161018	2509.903603	1686.790512	insufficient_order_stat_support	0.061943	1.086692	0.000000	0.077655	0	converged	p50_ci_width_0.0806_gt_0.0500;p80_p20_1.1610_gt_1.1500
lsperf	connect	syscall	loopback	3	connections_per_second	combined	20	2	2951.400072	2743.595043	2981.441814	0.080588	2611.980078	3032.554757	1.161018	2509.903603	1686.790512	insufficient_order_stat_support	0.061943	1.086692	0.000000	0.077655	0	converged	p50_ci_width_0.0806_gt_0.0500;p80_p20_1.1610_gt_1.1500
lsperf	connect	syscall	loopback	4	connections_per_second	discovery	20	2	3348.191243	2978.189151	3517.514858	0.161080	2969.059436	3659.834091	1.232658	2925.888928	2715.159634	insufficient_order_stat_support	0.096309	1.181092	0.000000	0.530802	0	converged	p50_ci_width_0.1611_gt_0.0500;p80_p20_1.2327_gt_1.1500;block_median_ratio_1.1811_gt_1.1000
lsperf	connect	syscall	loopback	4	connections_per_second	combined	20	2	3348.191243	2978.189151	3517.514858	0.161080	2969.059436	3659.834091	1.232658	2925.888928	2715.159634	insufficient_order_stat_support	0.096309	1.181092	0.000000	0.530802	0	converged	p50_ci_width_0.1611_gt_0.0500;p80_p20_1.2327_gt_1.1500;block_median_ratio_1.1811_gt_1.1000
lsperf	connect	syscall	loopback	5	connections_per_second	discovery	20	2	3515.364734	3109.240311	3714.922051	0.172296	2958.301358	3912.536571	1.322562	2841.258602	2199.929917	insufficient_order_stat_support	0.128335	1.194801	0.000000	0.069079	0	converged	p50_ci_width_0.1723_gt_0.0500;p80_p20_1.3226_gt_1.1500;block_median_ratio_1.1948_gt_1.1000
lsperf	connect	syscall	loopback	5	connections_per_second	combined	20	2	3515.364734	3109.240311	3714.922051	0.172296	2958.301358	3912.536571	1.322562	2841.258602	2199.929917	insufficient_order_stat_support	0.128335	1.194801	0.000000	0.069079	0	converged	p50_ci_width_0.1723_gt_0.0500;p80_p20_1.3226_gt_1.1500;block_median_ratio_1.1948_gt_1.1000
lsperf	connect	syscall	loopback	6	connections_per_second	discovery	20	2	3665.166806	3350.062060	3801.150991	0.123075	3262.463002	3938.959748	1.207358	3174.343645	2975.684320	insufficient_order_stat_support	0.083874	1.134651	0.000000	0.130255	0	converged	p50_ci_width_0.1231_gt_0.0500;p80_p20_1.2074_gt_1.1500;block_median_ratio_1.1347_gt_1.1000
lsperf	connect	syscall	loopback	6	connections_per_second	combined	20	2	3665.166806	3350.062060	3801.150991	0.123075	3262.463002	3938.959748	1.207358	3174.343645	2975.684320	insufficient_order_stat_support	0.083874	1.134651	0.000000	0.130255	0	converged	p50_ci_width_0.1231_gt_0.0500;p80_p20_1.2074_gt_1.1500;block_median_ratio_1.1347_gt_1.1000
lsperf	connect	syscall	loopback	7	connections_per_second	discovery	20	2	3752.906776	3463.606911	3945.519014	0.128410	3420.654612	3977.392659	1.162758	3332.961338	3305.136905	insufficient_order_stat_support	0.060227	1.139136	0.000000	0.291137	0	converged	p50_ci_width_0.1284_gt_0.0500;p80_p20_1.1628_gt_1.1500;block_median_ratio_1.1391_gt_1.1000
lsperf	connect	syscall	loopback	7	connections_per_second	combined	20	2	3752.906776	3463.606911	3945.519014	0.128410	3420.654612	3977.392659	1.162758	3332.961338	3305.136905	insufficient_order_stat_support	0.060227	1.139136	0.000000	0.291137	0	converged	p50_ci_width_0.1284_gt_0.0500;p80_p20_1.1628_gt_1.1500;block_median_ratio_1.1391_gt_1.1000
lsperf	connect	syscall	loopback	8	connections_per_second	discovery	20	2	3606.154369	3489.624254	3909.305760	0.116379	3327.825358	3982.482929	1.196722	3094.782593	2784.380169	insufficient_order_stat_support	0.092846	1.120266	0.000000	-0.146113	0	converged	p50_ci_width_0.1164_gt_0.0500;p80_p20_1.1967_gt_1.1500;block_median_ratio_1.1203_gt_1.1000
lsperf	connect	syscall	loopback	8	connections_per_second	combined	20	2	3606.154369	3489.624254	3909.305760	0.116379	3327.825358	3982.482929	1.196722	3094.782593	2784.380169	insufficient_order_stat_support	0.092846	1.120266	0.000000	-0.146113	0	converged	p50_ci_width_0.1164_gt_0.0500;p80_p20_1.1967_gt_1.1500;block_median_ratio_1.1203_gt_1.1000
lsperf	datagram	iouring	loopback	1	datagrams_per_second	discovery	20	2	1176187.963566	1176045.317111	1178465.306571	0.002057	1146287.926097	1269701.307916	1.107664	981012.096378	38300.280594	insufficient_order_stat_support	0.025538	1.002058	0.000000	-0.203162	2	converged	outliers_2
lsperf	datagram	iouring	loopback	1	datagrams_per_second	combined	20	2	1176187.963566	1176045.317111	1178465.306571	0.002057	1146287.926097	1269701.307916	1.107664	981012.096378	38300.280594	insufficient_order_stat_support	0.025538	1.002058	0.000000	-0.203162	2	converged	outliers_2
lsperf	datagram	iouring	loopback	2	datagrams_per_second	discovery	20	2	75501.435538	75454.046319	75509.668752	0.000737	75101.139632	75896.381225	1.010589	74919.747641	74367.223318	insufficient_order_stat_support	0.004778	1.000737	0.000000	-0.115165	2	converged	outliers_2
lsperf	datagram	iouring	loopback	2	datagrams_per_second	combined	20	2	75501.435538	75454.046319	75509.668752	0.000737	75101.139632	75896.381225	1.010589	74919.747641	74367.223318	insufficient_order_stat_support	0.004778	1.000737	0.000000	-0.115165	2	converged	outliers_2
lsperf	datagram	syscall	loopback	1	datagrams_per_second	discovery	20	2	1159040.174023	1159040.174023	1171421.175458	0.010682	1138759.587006	1218153.077207	1.069719	1132392.360912	1130009.428505	insufficient_order_stat_support	0.023762	1.010682	0.000000	0.107585	0	converged	
lsperf	datagram	syscall	loopback	1	datagrams_per_second	combined	20	2	1159040.174023	1159040.174023	1171421.175458	0.010682	1138759.587006	1218153.077207	1.069719	1132392.360912	1130009.428505	insufficient_order_stat_support	0.023762	1.010682	0.000000	0.107585	0	converged	
