binary	scenario	network	path_profile	adapter_features	congestion_controller	publication_status	metric	selected_threads	best_threads	boundary_threads	discovery_p50	confirm_p50	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	p90	p99	p99_status	selection_probability_within_tolerance	selected_vs_best_ratio	edge_status	reason
ngtcp2perf	upload	syscall	loopback	cc=cubic|udp_payload_shaping=off|pmtud=off|max_tx_payload=1452|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	throughput_gbps	1	1		18.033725		18.033725	17.730832	18.225254	0.027417	16.756941	16.336982	insufficient_order_stat_support	1.000000	1.000000	not_ready	no_incremental_plateau;t2:p50_ci_width_0.0365_gt_0.0300;drift_-0.0402_gt_0.0300;persistent_drift_-0.0402_gt_0.0300;t1:missing_confirm_stats
noqperf	connect	iouring	loopback	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1163_gt_0.0500;p80_p20_1.1865_gt_1.1500;block_median_ratio_1.3095_gt_1.1000;drift_-0.0553_gt_0.0300;severe_block_median_ratio_1.3095_gt_1.2500
noqperf	connect	syscall	loopback	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1605_gt_0.0500;p80_p20_1.2083_gt_1.1500;block_median_ratio_1.2532_gt_1.1000;severe_block_median_ratio_1.2532_gt_1.2500
noqperf	download	iouring	loopback	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	ready	throughput_gbps	2	2	3	5.563550	5.630323	5.582740	5.543140	5.648827	0.018931	5.510161	5.463536	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-5.00pct_le_1.00pct
noqperf	download	syscall	loopback	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	ready	throughput_gbps	2	2	3	5.743389	5.770786	5.760486	5.698542	5.829964	0.022814	5.661580	5.618218	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-4.15pct_le_1.00pct
noqperf	upload	iouring	loopback	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	not_ready	throughput_gbps	1	1	2	3.456276	3.459493	3.456276	3.397937	3.487490	0.025910	3.344372	3.251046	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-9.85pct_le_1.00pct;t2:combined_warning_noisy;p50_ci_width_0.0402_gt_0.0300
noqperf	upload	syscall	loopback	cc=cubic|sans_io=noq-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	not_ready	throughput_gbps	1	1	2	3.250040	3.300532	3.274617	3.237119	3.309617	0.022140	3.191692	3.147947	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-9.44pct_le_1.00pct;t2:confirm_not_ready_high_variance;combined_not_ready_outlier;outliers_1
picoperf	connect	iouring	loopback	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1671_gt_0.0500;p80_p20_1.4075_gt_1.1500;block_median_ratio_1.4028_gt_1.1000;drift_-0.1850_gt_0.0300;severe_block_median_ratio_1.4028_gt_1.2500;severe_drift_-0.1850_gt_0.0800
picoperf	connect	syscall	loopback	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.2958_gt_0.0500;p80_p20_1.3970_gt_1.1500;block_median_ratio_1.4442_gt_1.1000;severe_block_median_ratio_1.4442_gt_1.2500
picoperf	download	iouring	loopback	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	not_ready	throughput_gbps	1	1		9.375036		9.375036	9.225369	9.474477	0.026571	8.763493	8.644872	insufficient_order_stat_support	1.000000	1.000000	not_ready	no_incremental_plateau;t2:p50_ci_width_0.0722_gt_0.0300;p80_p20_1.1536_gt_1.1500;block_median_ratio_1.1942_gt_1.1000;persistent_block_median_ratio_recent_1.1127_gt_1.1000;persistent_p80_p20_recent_1.1538_gt_1.1500;t1:missing_confirm_stats
picoperf	download	syscall	loopback	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0381_gt_0.0300;block_median_ratio_1.1475_gt_1.1000;drift_-0.0320_gt_0.0300;persistent_drift_-0.0320_gt_0.0300
picoperf	upload	iouring	loopback	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0412_gt_0.0300;drift_0.0826_gt_0.0300;severe_drift_0.0826_gt_0.0800
picoperf	upload	syscall	loopback	cc=cubic|pmtud=off|packet_train=off|bdp_frame=on|bdp_seed=off|seed_now=off|udp_gso=common_cpp_after_impairment|udp_gro=on|mtu=1452|null_verifier=ed25519_sigalgs	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0573_gt_0.0300;block_median_ratio_1.1571_gt_1.1000;drift_0.0485_gt_0.0300;persistent_drift_0.0485_gt_0.0300
quicheperf	connect	iouring	loopback	cc=cubic|migration=off|pmtud=off|max_windows=profile|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0650_gt_0.0500;block_median_ratio_1.2066_gt_1.1000;drift_0.0375_gt_0.0300;persistent_block_median_ratio_recent_1.1417_gt_1.1000;persistent_drift_0.0375_gt_0.0300
quicheperf	connect	syscall	loopback	cc=cubic|migration=off|pmtud=off|max_windows=profile|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1875_gt_0.0500;p80_p20_1.2499_gt_1.1500;block_median_ratio_1.2628_gt_1.1000;drift_-0.1368_gt_0.0300;severe_block_median_ratio_1.2628_gt_1.2500;severe_drift_-0.1368_gt_0.0800
quicheperf	download	iouring	loopback	cc=cubic|migration=off|pmtud=off|max_windows=profile|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0389_gt_0.0300;drift_0.0467_gt_0.0300;persistent_drift_0.0467_gt_0.0300
