binary	scenario	network	path_profile	adapter_features	congestion_controller	metric	client_threads	publication_role	discovery_status	confirm_status	combined_status	combined_samples	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	combined_p20_p80_ratio	publication_status	reason
quinnperf	download	iouring	loopback	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	2	selected_saturation	ready	ready	ready	30	6.775672	6.736604	6.907429	0.025212	1.027551	ready	
quinnperf	download	iouring	loopback	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	3	plateau_sentinel+post_selected	ready	ready	ready	30	6.637827	6.584017	6.680693	0.014564	1.020400	ready	
quinnperf	download	syscall	loopback	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	1	baseline_1c1s+pre_saturation	ready	ready	ready	30	3.460820	3.448977	3.470741	0.006289	1.038052	ready	
quinnperf	download	syscall	loopback	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	2	selected_saturation	ready	not_ready	warning_noisy	30	7.111073	6.999735	7.219316	0.030879	1.039808	not_ready	combined_warning_noisy;p50_ci_width_0.0309_gt_0.0300
quinnperf	download	syscall	loopback	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	3	plateau_sentinel+post_selected	ready	ready	ready	30	7.086849	7.012026	7.141644	0.018290	1.030614	ready	
quinnperf	upload	syscall	loopback	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	1	baseline_1c1s+selected_saturation	ready	ready	ready	45	3.717975	3.696728	3.755232	0.015735	1.036449	ready	
quinnperf	upload	syscall	loopback	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	2	plateau_sentinel+post_selected	ready	ready	ready	30	3.569724	3.544190	3.607885	0.017843	1.035242	ready	
s2nperf	download	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	25	5.248734	5.197564	5.350083	0.029058	1.071998	not_ready	missing_confirm_stats
s2nperf	download	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	2	pre_saturation	ready	not_ready	ready	20	6.115240	6.107600	6.139757	0.005259	1.011501	not_ready	missing_confirm_stats
s2nperf	download	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	3	pre_saturation	ready	not_ready	ready	25	6.180034	6.137052	6.258500	0.019652	1.026038	not_ready	missing_confirm_stats
s2nperf	download	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	4	selected_saturation	ready	not_ready	ready	20	6.409969	6.354558	6.475304	0.018837	1.021632	not_ready	missing_confirm_stats
s2nperf	download	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	1	baseline_1c1s+pre_saturation	ready	not_ready	ready	45	5.780031	5.730440	5.868636	0.023909	1.045356	not_ready	missing_confirm_stats
s2nperf	download	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	2	pre_saturation	ready	not_ready	ready	35	6.201590	6.119142	6.289629	0.027491	1.035484	not_ready	missing_confirm_stats
s2nperf	download	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	3	selected_saturation	ready	not_ready	ready	40	6.429073	6.369615	6.490059	0.018734	1.031879	not_ready	missing_confirm_stats
s2nperf	upload	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	1	baseline_1c1s+pre_saturation	ready	not_ready	warning_noisy	30	5.562169	5.494871	5.667849	0.031099	1.048135	not_ready	combined_warning_noisy;p50_ci_width_0.0311_gt_0.0300
s2nperf	upload	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	2	selected_saturation	ready	not_ready	ready	30	7.328881	7.212831	7.381225	0.022977	1.037091	not_ready	confirm_p50_ci_width_0.0507_gt_0.0450
s2nperf	upload	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	throughput_gbps	3	plateau_sentinel+post_selected	ready	not_ready	warning_noisy	40	7.134953	6.976131	7.197039	0.030961	1.049362	not_ready	combined_warning_noisy;p50_ci_width_0.0310_gt_0.0300
tquicperf	download	iouring	loopback	cc=cubic|pacing=on|pmtud=off|send_batch=150|max_conns=server_connections|tls_sigalgs=explicit|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+pre_saturation	ready	not_ready	not_ready_nonstationary	60	8.663711	8.551986	8.863903	0.036003	1.053243	not_ready	combined_not_ready_nonstationary;p50_ci_width_0.0360_gt_0.0300;block_median_ratio_1.1119_gt_1.1000
tquicperf	download	iouring	loopback	cc=cubic|pacing=on|pmtud=off|send_batch=150|max_conns=server_connections|tls_sigalgs=explicit|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	pre_saturation	ready	not_ready	not_ready_nonstationary	30	9.011717	8.808143	9.147209	0.037625	1.093361	not_ready	confirm_p50_ci_width_0.0476_gt_0.0450;confirm_median_delta_0.0497_gt_0.0450;combined_not_ready_nonstationary;p50_ci_width_0.0376_gt_0.0300;block_median_ratio_1.1061_gt_1.1000
tquicperf	download	iouring	loopback	cc=cubic|pacing=on|pmtud=off|send_batch=150|max_conns=server_connections|tls_sigalgs=explicit|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	3	selected_saturation	ready	not_ready	warning_noisy	30	9.128902	8.986218	9.277724	0.031932	1.064053	not_ready	confirm_p50_ci_width_0.0786_gt_0.0450;combined_warning_noisy;p50_ci_width_0.0319_gt_0.0300
tquicperf	download	iouring	loopback	cc=cubic|pacing=on|pmtud=off|send_batch=150|max_conns=server_connections|tls_sigalgs=explicit|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	4	plateau_sentinel+post_selected	ready	ready	ready	50	9.010425	8.888095	9.103998	0.023961	1.044292	ready	
tquicperf	upload	iouring	loopback	cc=cubic|pacing=on|pmtud=off|send_batch=150|max_conns=server_connections|tls_sigalgs=explicit|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+pre_saturation	ready	ready	ready	30	7.851718	7.832368	7.924449	0.011727	1.062176	ready	
tquicperf	upload	iouring	loopback	cc=cubic|pacing=on|pmtud=off|send_batch=150|max_conns=server_connections|tls_sigalgs=explicit|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	selected_saturation	ready	not_ready	warning_noisy	35	11.654139	11.564916	12.052552	0.041842	1.061427	not_ready	confirm_p50_ci_width_0.0751_gt_0.0450;combined_warning_noisy;p50_ci_width_0.0418_gt_0.0300
tquicperf	upload	iouring	loopback	cc=cubic|pacing=on|pmtud=off|send_batch=150|max_conns=server_connections|tls_sigalgs=explicit|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	3	plateau_sentinel+post_selected	ready	ready	ready	55	11.076932	10.916774	11.171221	0.022971	1.055677	ready	
tquicperf	upload	syscall	loopback	cc=cubic|pacing=on|pmtud=off|send_batch=150|max_conns=server_connections|tls_sigalgs=explicit|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+pre_saturation	ready	ready	ready	30	9.579245	9.487012	9.663454	0.018419	1.085583	ready	
tquicperf	upload	syscall	loopback	cc=cubic|pacing=on|pmtud=off|send_batch=150|max_conns=server_connections|tls_sigalgs=explicit|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	selected_saturation	ready	not_ready	not_ready_nonstationary	50	12.863108	12.652115	13.026115	0.029075	1.056103	not_ready	confirm_p50_ci_width_0.1030_gt_0.0450;combined_not_ready_nonstationary;block_median_ratio_1.1627_gt_1.1000
tquicperf	upload	syscall	loopback	cc=cubic|pacing=on|pmtud=off|send_batch=150|max_conns=server_connections|tls_sigalgs=explicit|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	3	plateau_sentinel+post_selected	ready	not_ready	not_ready_nonstationary	60	12.507165	12.384408	12.698244	0.025093	1.059902	not_ready	confirm_p50_ci_width_0.0700_gt_0.0450;combined_not_ready_nonstationary;block_median_ratio_1.1030_gt_1.1000
