binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	publication_status	metric	selected_threads	best_threads	boundary_threads	discovery_p50	confirm_p50	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	p90	p99	p99_status	selection_probability_within_tolerance	selected_vs_best_ratio	edge_status	reason
quiczigperf	connect	syscall	loopback	publication	1	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=library_default|send_backpressure=stream_window|flow_window=profile_request|server_send_rr=on	cubic	converged	connections_per_second	5	5	5	2143.424417		2143.424417	2083.907245	2187.883105	0.048509	2035.846411	1926.037377	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.07pct_le_1.00pct
quiczigperf	download	iouring	loopback	publication	1	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=library_default|send_backpressure=stream_window|flow_window=profile_request|server_send_rr=on	cubic	converged	throughput_gbps	1	1	2	9.267692		9.267692	9.052927	9.716692	0.071621	8.929238	8.814635	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-67.22pct_le_1.00pct
quiczigperf	download	syscall	loopback	publication	1	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=library_default|send_backpressure=stream_window|flow_window=profile_request|server_send_rr=on	cubic	converged	throughput_gbps	1	1	2	9.432340		9.432340	9.319039	10.101835	0.082991	9.037465	8.984847	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-45.76pct_le_1.00pct
quiczigperf	upload	iouring	loopback	publication	1	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=library_default|send_backpressure=stream_window|flow_window=profile_request|server_send_rr=on	cubic	converged	throughput_gbps	1	1	2	8.916185		8.916185	8.662825	8.959957	0.033325	8.303105	8.081539	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-23.27pct_le_1.00pct
quiczigperf	upload	syscall	loopback	publication	1	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=library_default|send_backpressure=stream_window|flow_window=profile_request|server_send_rr=on	cubic	converged	throughput_gbps	1	1	2	9.731355		9.731355	9.618550	9.734734	0.011939	8.846766	8.733273	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-22.66pct_le_1.00pct
quinnperf	connect	iouring	loopback	publication	1	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	connections_per_second	12	12	13	7073.630181		7073.630181	7073.630181	7419.927358	0.048956	6761.137248	6119.881309	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.07pct_le_1.00pct
quinnperf	connect	syscall	loopback	publication	1	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	connections_per_second	4	4	5	2977.028027		2977.028027	2971.376130	2977.028027	0.001899	2590.538164	1447.519297	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-0.88pct_le_1.00pct
quinnperf	download	iouring	loopback	publication	1	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	2	2	3	6.529227		6.529227	6.271223	6.529227	0.039515	5.702208	5.625244	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-7.61pct_le_1.00pct
quinnperf	download	syscall	loopback	publication	1	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	2	2	3	6.224194		6.224194	5.747493	6.424625	0.108790	5.615062	5.526392	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-3.29pct_le_1.00pct
quinnperf	upload	iouring	loopback	publication	1	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	1	1	2	4.076769		4.076769	4.019189	4.120703	0.024901	3.959388	3.900713	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-9.95pct_le_1.00pct
quinnperf	upload	syscall	loopback	publication	1	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	1	1	2	3.432046		3.432046	3.422338	3.439628	0.005038	3.390985	3.366205	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-8.16pct_le_1.00pct
s2nperf	connect	iouring	loopback	publication	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	connections_per_second	15	15	15	6195.650051		6195.650051	6139.460962	6293.558491	0.024872	5816.077475	5596.263150	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.20pct_le_1.00pct
s2nperf	connect	syscall	loopback	publication	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	connections_per_second	7	7	8	2886.603950		2886.603950	2809.235140	2992.851448	0.063610	2740.658424	2581.352487	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-4.90pct_le_1.00pct
s2nperf	download	iouring	loopback	publication	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	5	5	6	5.523494		5.523494	5.489670	5.544154	0.009864	4.368441	3.022639	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-6.96pct_le_1.00pct
s2nperf	download	syscall	loopback	publication	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	4	4	5	5.518411		5.518411	5.497720	5.548958	0.009285	4.405634	3.861799	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-13.90pct_le_1.00pct
s2nperf	upload	iouring	loopback	publication	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	3	3	3	5.487446		5.487446	5.384495	5.696914	0.056933	4.993486	4.615760	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.72pct_le_1.00pct
s2nperf	upload	syscall	loopback	publication	1	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	converged	throughput_gbps	3	3	4	6.079570		6.079570	6.033590	6.091088	0.009458	5.745613	5.470623	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-2.82pct_le_1.00pct
tquicperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|pmtud=off|send_batch=150|max_conns=server_connections|tls_sigalgs=explicit|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	10	10	10	6674.308505		6674.308505	6590.146249	6753.052959	0.024408	6345.356825	6240.194220	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.99pct_le_1.00pct
tquicperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|pmtud=off|send_batch=150|max_conns=server_connections|tls_sigalgs=explicit|udp_gso=common_cpp|udp_gro=on	cubic	converged	connections_per_second	7	7	7	2646.837820		2646.837820	2636.553978	2663.637786	0.010233	2523.309370	2310.023646	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.71pct_le_1.00pct
tquicperf	download	iouring	loopback	publication	1	cc=cubic|pacing=on|pmtud=off|send_batch=150|max_conns=server_connections|tls_sigalgs=explicit|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	3	3	3	6.551388		6.551388	6.480370	6.652753	0.026313	6.446855	6.359234	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.96pct_le_1.00pct
tquicperf	download	syscall	loopback	publication	1	cc=cubic|pacing=on|pmtud=off|send_batch=150|max_conns=server_connections|tls_sigalgs=explicit|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	2	2	3	7.241804		7.241804	7.171965	7.264731	0.012810	6.956152	6.552967	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-1.84pct_le_1.00pct
tquicperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|pmtud=off|send_batch=150|max_conns=server_connections|tls_sigalgs=explicit|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	4	4	5	10.150848		10.150848	10.023713	10.309630	0.028167	9.629728	9.323948	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-1.11pct_le_1.00pct
tquicperf	upload	syscall	loopback	publication	1	cc=cubic|pacing=on|pmtud=off|send_batch=150|max_conns=server_connections|tls_sigalgs=explicit|udp_gso=common_cpp|udp_gro=on	cubic	converged	throughput_gbps	4	4	4	10.669241		10.669241	10.439692	10.831591	0.036732	9.919092	9.258208	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_0.66pct_le_1.00pct
