binary	scenario	network	metric	client_threads	curve_role	phase	samples	blocks	p50	p90	p99	p99_status	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	convergence_status	reason
quiczigperf	datagram	syscall	messages_per_second	1	baseline_1c1s	combined	40	8	225886.979422	254680.941487	269515.475615	insufficient_order_stat_support	217836.433623	233513.899457	0.069404	209200.107521	238213.898131	1.138689	not_ready_high_variance	p50_ci_width_0.0694_gt_0.0500;block_median_ratio_1.1298_gt_1.1000;drift_0.0515_gt_0.0300;persistent_block_median_ratio_recent_1.1298_gt_1.1000;persistent_drift_0.0515_gt_0.0300
quinnperf	datagram	iouring	messages_per_second	1	baseline_1c1s+selected_saturation	discovery	25	5	183608.455439	199313.990710	212450.335479	insufficient_order_stat_support	181285.543879	186389.965999	0.027801	176976.655867	190442.411078	1.076088	ready	
quinnperf	datagram	iouring	messages_per_second	1	baseline_1c1s+selected_saturation	combined	25	5	183608.455439	199313.990710	212450.335479	insufficient_order_stat_support	181285.543879	186389.965999	0.027801	176976.655867	190442.411078	1.076088	ready	
quinnperf	datagram	iouring	messages_per_second	2	post_selected	discovery	20	4	172677.872829	179480.172208	184669.276945	insufficient_order_stat_support	171451.601343	173837.457636	0.013817	167708.348004	176185.264910	1.050546	ready	
quinnperf	datagram	iouring	messages_per_second	2	post_selected	combined	20	4	172677.872829	179480.172208	184669.276945	insufficient_order_stat_support	171451.601343	173837.457636	0.013817	167708.348004	176185.264910	1.050546	ready	
quinnperf	datagram	iouring	messages_per_second	3	plateau_sentinel+post_selected	discovery	75	15	169772.984476	189310.740112	205546.904062	insufficient_order_stat_support	167110.784463	171364.205110	0.025054	163231.071792	183800.282493	1.126013	not_ready_high_variance	block_median_ratio_1.1447_gt_1.1000;persistent_block_median_ratio_recent_1.1091_gt_1.1000
quinnperf	datagram	iouring	messages_per_second	3	plateau_sentinel+post_selected	combined	75	15	169772.984476	189310.740112	205546.904062	insufficient_order_stat_support	167110.784463	171364.205110	0.025054	163231.071792	183800.282493	1.126013	not_ready_high_variance	block_median_ratio_1.1447_gt_1.1000;persistent_block_median_ratio_recent_1.1091_gt_1.1000
quinnperf	datagram	syscall	messages_per_second	1	baseline_1c1s+selected_saturation	discovery	20	4	195656.527979	203538.072037	220871.862487	insufficient_order_stat_support	189357.381191	196614.763351	0.037092	189178.540903	202223.730698	1.068957	ready	
quinnperf	datagram	syscall	messages_per_second	1	baseline_1c1s+selected_saturation	confirm	10	2	207631.126148	252644.728740	255077.155145	insufficient_order_stat_support	199635.877149	217944.470771	0.088178	193824.409273	234164.755512	1.208128	not_ready_high_variance	p50_ci_width_0.0882_gt_0.0500;p80_p20_1.2081_gt_1.1500;persistent_p80_p20_recent_1.2005_gt_1.1500
quinnperf	datagram	syscall	messages_per_second	1	baseline_1c1s+selected_saturation	combined	30	6	196594.294889	225395.834936	254476.556032	insufficient_order_stat_support	193659.445965	203323.597122	0.049158	190259.209027	205908.620197	1.082253	not_ready_nonstationary	block_median_ratio_1.1514_gt_1.1000;drift_-0.0366_gt_0.0300
quinnperf	datagram	syscall	messages_per_second	2	post_selected	discovery	20	4	192267.218966	202108.797227	205170.677605	insufficient_order_stat_support	189545.277727	194665.293686	0.026630	188137.097815	197837.584198	1.051561	ready	
quinnperf	datagram	syscall	messages_per_second	2	post_selected	combined	20	4	192267.218966	202108.797227	205170.677605	insufficient_order_stat_support	189545.277727	194665.293686	0.026630	188137.097815	197837.584198	1.051561	ready	
quinnperf	datagram	syscall	messages_per_second	3	plateau_sentinel+post_selected	discovery	20	4	184430.314644	197356.036904	208655.581826	insufficient_order_stat_support	178059.408118	187165.951729	0.049377	177800.015769	191123.245869	1.074934	ready	
quinnperf	datagram	syscall	messages_per_second	3	plateau_sentinel+post_selected	confirm	10	2	186423.797911	208629.278549	211106.076552	insufficient_order_stat_support	186287.978338	194138.053953	0.042109	178866.853417	201667.587137	1.127473	ready	
quinnperf	datagram	syscall	messages_per_second	3	plateau_sentinel+post_selected	combined	30	6	184670.261148	200835.597902	211254.681801	insufficient_order_stat_support	179187.108327	187431.467060	0.044644	177800.015769	194747.417490	1.095317	ready	
s2nperf	datagram	iouring	messages_per_second	1	baseline_1c1s	discovery	40	8	104490.739930	115432.451980	122532.676382	insufficient_order_stat_support	102897.510751	109261.735227	0.060907	101373.302634	111457.416758	1.099475	not_ready_high_variance	p50_ci_width_0.0609_gt_0.0500;block_median_ratio_1.1029_gt_1.1000;drift_-0.0384_gt_0.0300;persistent_drift_-0.0384_gt_0.0300
s2nperf	datagram	iouring	messages_per_second	1	baseline_1c1s	combined	40	8	104490.739930	115432.451980	122532.676382	insufficient_order_stat_support	102897.510751	109261.735227	0.060907	101373.302634	111457.416758	1.099475	not_ready_high_variance	p50_ci_width_0.0609_gt_0.0500;block_median_ratio_1.1029_gt_1.1000;drift_-0.0384_gt_0.0300;persistent_drift_-0.0384_gt_0.0300
s2nperf	datagram	syscall	messages_per_second	1	baseline_1c1s	discovery	50	10	115056.862923	124049.359323	130457.091311	insufficient_order_stat_support	112284.603734	117736.552451	0.047385	110273.635953	121282.236707	1.099830	not_ready_high_variance	block_median_ratio_1.1683_gt_1.1000;persistent_block_median_ratio_recent_1.1061_gt_1.1000
s2nperf	datagram	syscall	messages_per_second	1	baseline_1c1s	combined	50	10	115056.862923	124049.359323	130457.091311	insufficient_order_stat_support	112284.603734	117736.552451	0.047385	110273.635953	121282.236707	1.099830	not_ready_high_variance	block_median_ratio_1.1683_gt_1.1000;persistent_block_median_ratio_recent_1.1061_gt_1.1000
