logical_trial_id	planned_trial_id	committed_trial_id	session	planned_microblock_id	cell_id	server	reference_client	server_backend	scenario	path_profile	outcome	validity_reasons
f6325a5d12f3536ef72622554f8c454491d8238a60e53e24062fb14efa7d7fca	e0e840862e5b6101321b6f1c42570f0c46442bc6d13c17bff3d2cd1878804e09	e0e840862e5b6101321b6f1c42570f0c46442bc6d13c17bff3d2cd1878804e09	1	b5d64736abb83412d7226e4035c18c62104fde832f1a9ba838c79b20bcb049c9	681dd5bcc8aed2320be0b04515d03541960ebc7f46242d144a9fe23b55930c81	noqperf	picoperf	iouring	download	loopback	valid	
9938a2c0f8ff6411057740a4e46fc13851de4ed8a76231a9abf5525b928d6b9d	7dac7163ddab6fd59e441a5b2da0400c1bca614e0eab9c4003465623a617ff39	7dac7163ddab6fd59e441a5b2da0400c1bca614e0eab9c4003465623a617ff39	1	b5d64736abb83412d7226e4035c18c62104fde832f1a9ba838c79b20bcb049c9	5ac34471c5b446cdeb7004d8c07800dadd22b5e487673d8b509b52d15482ff2d	mvfstperf	picoperf	iouring	download	loopback	valid	
827f12405749aac1fd4e847a43c1d487b7dc11eed9f8332a3ce67d1dd0598b2f	1327a62ea7582d798618cae35ce1e6f49bb66783bc39ec85e23a1fd16d2b62d5	1327a62ea7582d798618cae35ce1e6f49bb66783bc39ec85e23a1fd16d2b62d5	1	b5d64736abb83412d7226e4035c18c62104fde832f1a9ba838c79b20bcb049c9	b41a093da277f0d082ffe3dd6fc0fe6cbebb829883835c81a76c97c5235fe412	quiczigperf	picoperf	iouring	download	loopback	valid	
848c8a5477c2b5732548afb3f6213331eb0b6155f0f7bc2ff35ac24f2de7fb0a	ee33adecc1f73ec9be3f9ddc5b7af381cda8580157d51c228c1ec8e7d3b750c8	ee33adecc1f73ec9be3f9ddc5b7af381cda8580157d51c228c1ec8e7d3b750c8	1	35696fc13b44349030644e188be658ff9edf5a81c6213731fa16070c839d881e	4d6e929796a44a99d01317024cd07810ebdceafca8605a6f97b07e97a1bd8f54	xquicperf	ngtcp2perf	iouring	download	loopback	valid	
ed14b3cb37bc201edc5b807f3fd1689e2de63fa1504e5b864c3c99504145ec28	fa6c288e79a073b6a8a21ebac396b3cb7e4856ed3bbc6d7c4088006576bdd2fb	fa6c288e79a073b6a8a21ebac396b3cb7e4856ed3bbc6d7c4088006576bdd2fb	1	35696fc13b44349030644e188be658ff9edf5a81c6213731fa16070c839d881e	05d2f02b3c012afb6172c1ffe18c26a72c574d00b1ed4eee47e9a6498c5fce57	quinnperf	ngtcp2perf	iouring	download	loopback	valid	
9b479951dafe5bc253c47ab1bdcf542a0f9b835bbafa8486c55d72e2d908a703	52da943c34df6170bd163884fbbec8eab4a8de739e030c6dd4f208898295a1e8	52da943c34df6170bd163884fbbec8eab4a8de739e030c6dd4f208898295a1e8	1	35696fc13b44349030644e188be658ff9edf5a81c6213731fa16070c839d881e	ba25bdf4057ea3f886459c17e00451be67f5e9b575c62405fbf733427a9c42ac	picoperf	ngtcp2perf	iouring	download	loopback	valid	
177c4b244266cb74ea278a3d381b2c06f7174e08bce0b977a088f1a66f0ecd4e	b4cd1bfeafff2045b08e9ffc70c7f0ca5b8b4b6b3060723a825e2683d6e9f9d0	b4cd1bfeafff2045b08e9ffc70c7f0ca5b8b4b6b3060723a825e2683d6e9f9d0	1	35696fc13b44349030644e188be658ff9edf5a81c6213731fa16070c839d881e	95631a0f7dffe8870b3a06d495ad0719b0cea5d0a939faeaacd89f42b1b65d59	s2nperf	ngtcp2perf	iouring	download	loopback	valid	
aa6594a2a1b88d222a9c475102a33c5068df9e6762b65635eba15149c0543d96	02a2a3ac2c304b7e337439d4e9d17e6e5ccbd9d0d2688c2401c749156737a4e3	02a2a3ac2c304b7e337439d4e9d17e6e5ccbd9d0d2688c2401c749156737a4e3	1	35696fc13b44349030644e188be658ff9edf5a81c6213731fa16070c839d881e	e6edc3b33f2564c31152a37dcbf6008396f8c2ebc4fb9903ff3d6daf477e07f9	quicheperf	ngtcp2perf	iouring	download	loopback	valid	
cf7b930d7264085991eff98f2b9256bc5c7288e37cebb0d28a09dab5b3c2a42f	143972c922699fb9d681600c55d49a2abc5264fd58d4709c965495542ba6773d	143972c922699fb9d681600c55d49a2abc5264fd58d4709c965495542ba6773d	1	35696fc13b44349030644e188be658ff9edf5a81c6213731fa16070c839d881e	8ecfa758cb8d459f6f57f214305a74b5cab3a779579677f964c140c54567baab	neqoperf	ngtcp2perf	iouring	download	loopback	valid	
a0170f91992e9af34a9fb8748193d0a54c405d138641f01985c5ecb229515244	921c54b2c2bc340b306f27475dd5c567e6b89de6b7ccad9b60ca62e5f08bbb0b	921c54b2c2bc340b306f27475dd5c567e6b89de6b7ccad9b60ca62e5f08bbb0b	1	35696fc13b44349030644e188be658ff9edf5a81c6213731fa16070c839d881e	60dac10772b24c444d89c8055e11b5592f378d4c3457b8a2842b9e666f2fc0e2	tquicperf	ngtcp2perf	iouring	download	loopback	valid	
