estimand	server	server_backend	scenario	path_profile	phase	load	metric	planned	committed	valid	geometric_mean	status	quality_labels
fixed_treatment_server	noqperf	iouring	zero_rtt_reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	287.41568395336765	complete	
fixed_treatment_server	picoperf	iouring	bidi	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	1147563882.5036211	complete	
fixed_treatment_server	picoperf	iouring	close_reset_cleanup	loopback	confirmatory	16	cleanup_geometric_mean_operations_per_second	24	24	24	1938.3459656379109	complete	
fixed_treatment_server	picoperf	iouring	connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	3190.6905548820209	complete	
fixed_treatment_server	picoperf	iouring	datagram	loopback	confirmatory	16	validated_operations_per_second	24	24	24	272391.90400269954	complete	
fixed_treatment_server	picoperf	iouring	download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	1158828858.017669	complete	
fixed_treatment_server	picoperf	iouring	flow_control	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	951818012.49402773	complete	
fixed_treatment_server	picoperf	iouring	loss_recovery	loss_recovery_v1	confirmatory	16	validated_body_bits_per_second	24	24	24	748251938.65903389	complete	
fixed_treatment_server	picoperf	iouring	multistream_download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	835739630.57711184	complete	
fixed_treatment_server	picoperf	iouring	multistream_upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	975024482.09493709	complete	
fixed_treatment_server	picoperf	iouring	reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	44421.340150032047	complete	
fixed_treatment_server	picoperf	iouring	resumed_connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	3741.0035978630594	complete	
fixed_treatment_server	picoperf	iouring	small_payload_pps	loopback	confirmatory	16	validated_operations_per_second	24	24	24	223005.65002185031	complete	
fixed_treatment_server	picoperf	iouring	stream_churn	loopback	confirmatory	16	validated_operations_per_second	24	24	24	47130.566600581566	complete	
fixed_treatment_server	picoperf	iouring	upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	1571381865.4491165	complete	
fixed_treatment_server	picoperf	iouring	zero_rtt_reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	3586.4400815532472	complete	
fixed_treatment_server	quicheperf	iouring	bidi	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	668735830.80922353	complete	
fixed_treatment_server	quicheperf	iouring	close_reset_cleanup	loopback	confirmatory	16	cleanup_geometric_mean_operations_per_second	24	24	24	1693.7157218213551	complete	
fixed_treatment_server	quicheperf	iouring	connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	600.69782475516752	complete	
fixed_treatment_server	quicheperf	iouring	datagram	loopback	confirmatory	16	validated_operations_per_second	24	24	24	139292.07217829916	complete	
fixed_treatment_server	quicheperf	iouring	download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	830909607.45037043	complete	
fixed_treatment_server	quicheperf	iouring	flow_control	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	605586738.45903349	complete	
fixed_treatment_server	quicheperf	iouring	loss_recovery	loss_recovery_v1	confirmatory	16	validated_body_bits_per_second	24	24	24	466505328.11055452	complete	
fixed_treatment_server	quicheperf	iouring	multistream_download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	497450143.42562014	complete	
fixed_treatment_server	quicheperf	iouring	multistream_upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	283401441.55458176	complete	
fixed_treatment_server	quicheperf	iouring	reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	24813.171093317593	complete	
fixed_treatment_server	quicheperf	iouring	resumed_connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	577.92909720775174	complete	
fixed_treatment_server	quicheperf	iouring	small_payload_pps	loopback	confirmatory	16	validated_operations_per_second	24	24	24	103237.83582013051	complete	
fixed_treatment_server	quicheperf	iouring	stream_churn	loopback	confirmatory	16	validated_operations_per_second	24	24	24	26180.281659472519	complete	
fixed_treatment_server	quicheperf	iouring	upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	504579846.13325214	complete	
fixed_treatment_server	quicheperf	iouring	zero_rtt_reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	1492.9103260372269	complete	
