binary	scenario	network	path_profile	adapter_features	congestion_controller	measurement_status	audit_status	publication_status	metric	selected_threads	mode	duration_ms	work_units	samples	blocks	p50	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p90	p99	p99_status	reason
s2nperf	idle_footprint	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	noisy	inconclusive	server_rss_delta_bytes_per_connection	16	work			20	5	255360.000000	242560.000000	266240.000000	0.092732	277606.400000	283550.720000	insufficient_order_stat_support	p50_ci_width_0.0927_gt_0.0500;block_median_ratio_1.1737_gt_1.1000;drift_0.0541_gt_0.0300
s2nperf	idle_footprint	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	noisy	inconclusive	server_rss_delta_bytes_per_connection	16	work			20	5	267008.000000	254464.000000	284928.000000	0.114094	295987.200000	313889.280000	insufficient_order_stat_support	p50_ci_width_0.1141_gt_0.0500;p80_p20_1.1616_gt_1.1500;block_median_ratio_1.1437_gt_1.1000;drift_-0.0708_gt_0.0300
s2nperf	close_reset_cleanup	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	tail_insufficient	publishable	streams_per_second	4	duration	2000		20	5	39452.500000	39310.000000	39830.500000	0.013193	38780.600000	38065.235000	insufficient_order_stat_support	
s2nperf	close_reset_cleanup	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	complete	tail_insufficient	publishable	streams_per_second	4	duration	2000		20	5	41611.750000	41375.000000	41647.500000	0.006549	40455.500000	39448.805000	insufficient_order_stat_support	
neqoperf	download	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	noisy	inconclusive	throughput_gbps	1	duration	2000		20	5	4.373999	4.330540	4.449433	0.027182	4.264276	4.244290	insufficient_order_stat_support	block_median_ratio_1.2389_gt_1.1000;outliers_3
neqoperf	download	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	throughput_gbps	1	duration	2000		20	5	4.392406	4.379336	4.421234	0.009539	4.332502	4.262454	insufficient_order_stat_support	
neqoperf	upload	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	noisy	inconclusive	throughput_gbps	1	duration	2000		20	5	5.596952	4.710246	5.933018	0.218471	4.539199	4.455551	insufficient_order_stat_support	p50_ci_width_0.2185_gt_0.0300;p80_p20_1.3223_gt_1.1500;block_median_ratio_1.2596_gt_1.1000;drift_-0.0395_gt_0.0300
neqoperf	upload	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	throughput_gbps	1	duration	2000		20	5	4.470694	4.450817	4.500580	0.011131	4.387800	4.347552	insufficient_order_stat_support	
neqoperf	connect	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	noisy	inconclusive	connections_per_second	16	work		8	20	5	246.624718	238.878334	251.309950	0.050407	234.637683	228.248835	insufficient_order_stat_support	p50_ci_width_0.0504_gt_0.0500
neqoperf	connect	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	connections_per_second	16	work		8	20	5	233.983630	228.662089	237.322696	0.037014	223.722040	214.938669	insufficient_order_stat_support	
