scenario	network	path_profile	metric	binary_a	binary_b	a_p50	b_p50	a_vs_b_median_ratio	a_vs_b_ci95_low	a_vs_b_ci95_high	relation
upload	syscall	loopback	throughput_gbps	quiczigperf	s2nperf	10.642417	6.797656	1.565601	1.552511	1.589938	win
upload	syscall	loopback	throughput_gbps	quiczigperf	tquicperf	10.642417	14.251444	0.746761	0.737722	0.757106	loss
upload	syscall	loopback	throughput_gbps	quiczigperf	xquicperf	10.642417	3.952632	2.692488	2.669835	2.729083	win
upload	syscall	loopback	throughput_gbps	quinnperf	s2nperf	3.450073	6.797656	0.507539	0.502718	0.514755	loss
upload	syscall	loopback	throughput_gbps	quinnperf	tquicperf	3.450073	14.251444	0.242086	0.238849	0.245062	loss
upload	syscall	loopback	throughput_gbps	quinnperf	xquicperf	3.450073	3.952632	0.872854	0.864088	0.882766	loss
upload	syscall	loopback	throughput_gbps	s2nperf	tquicperf	6.797656	14.251444	0.476980	0.468107	0.484046	loss
upload	syscall	loopback	throughput_gbps	s2nperf	xquicperf	6.797656	3.952632	1.719779	1.691585	1.741908	win
upload	syscall	loopback	throughput_gbps	tquicperf	xquicperf	14.251444	3.952632	3.605558	3.547300	3.665022	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	lsperf	mvfstperf	51964.500000	10527.000000	4.936307	4.905153	4.955410	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	lsperf	neqoperf	51964.500000	10783.250000	4.819002	4.763086	4.846131	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	lsperf	ngtcp2perf	51964.500000	41830.750000	1.242256	1.232471	1.248924	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	lsperf	noqperf	51964.500000	32764.500000	1.586000	1.576066	1.591601	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	lsperf	picoperf	51964.500000	30601.750000	1.698089	1.674441	1.716213	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	lsperf	quicheperf	51964.500000	46529.000000	1.116820	1.108418	1.129025	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	lsperf	quiczigperf	51964.500000	3666.500000	14.172781	14.059780	14.246141	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	lsperf	quinnperf	51964.500000	32764.750000	1.585988	1.576042	1.591601	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	lsperf	s2nperf	51964.500000	43378.500000	1.197932	1.186355	1.208129	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	lsperf	tquicperf	51964.500000	152698.000000	0.340309	0.336599	0.342513	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	lsperf	xquicperf	51964.500000	18138.750000	2.864834	2.843283	2.879872	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	mvfstperf	neqoperf	10527.000000	10783.250000	0.976236	0.969707	0.979439	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	mvfstperf	ngtcp2perf	10527.000000	41830.750000	0.251657	0.250760	0.252437	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	mvfstperf	noqperf	10527.000000	32764.500000	0.321293	0.320408	0.321362	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	mvfstperf	picoperf	10527.000000	30601.750000	0.344000	0.340652	0.346733	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	mvfstperf	quicheperf	10527.000000	46529.000000	0.226246	0.225337	0.228335	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	mvfstperf	quiczigperf	10527.000000	3666.500000	2.871131	2.860402	2.881246	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	mvfstperf	quinnperf	10527.000000	32764.750000	0.321290	0.320403	0.321362	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	mvfstperf	s2nperf	10527.000000	43378.500000	0.242678	0.241159	0.244286	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	mvfstperf	tquicperf	10527.000000	152698.000000	0.068940	0.068188	0.069267	loss
