binary	scenario	network	path_profile	client_threads	metric	mode	duration_ms	work_units	samples	blocks	p50	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	block_median_ratio	drift_relative	outlier_count	measurement_status	audit_status	publication_status	reason
neqoperf	stream_churn	syscall	loopback	4	streams_per_second	duration	2000		20	5	12174.500000	12155.750000	12218.500000	0.005154	12115.000000	12259.300000	1.011911	12100.450000	12081.370000	insufficient_order_stat_support	1.005162	0.000134	0	complete	tail_insufficient	publishable	
neqoperf	stream_churn	iouring	loopback	4	streams_per_second	duration	2000		20	5	12286.250000	12261.500000	12309.750000	0.003927	12206.100000	12349.000000	1.011707	12177.250000	12079.015000	insufficient_order_stat_support	1.006831	-0.002347	0	complete	tail_insufficient	publishable	
neqoperf	multistream_download	syscall	loopback	1	throughput_gbps	duration	2000		20	5	2.777153	2.752512	2.831155	0.028318	2.746640	2.847303	1.036650	2.705326	2.679846	insufficient_order_stat_support	1.046659	0.027588	0	complete	tail_insufficient	publishable	
neqoperf	multistream_download	iouring	loopback	1	throughput_gbps	duration	2000		20	5	2.508194	2.494038	2.511340	0.006898	2.490997	2.539231	1.019363	2.479253	2.469344	insufficient_order_stat_support	1.010316	-0.004902	0	complete	tail_insufficient	publishable	
neqoperf	multistream_upload	syscall	loopback	2	throughput_gbps	duration	2000		20	5	3.335520	3.309306	3.358589	0.014775	3.274493	3.388998	1.034969	3.186413	3.151306	insufficient_order_stat_support	1.038573	-0.011384	0	complete	tail_insufficient	publishable	
neqoperf	multistream_upload	iouring	loopback	2	throughput_gbps	duration	2000		20	5	3.192913	3.170894	3.225420	0.017077	3.093718	3.243875	1.048536	3.019270	3.005114	insufficient_order_stat_support	1.039993	-0.009979	0	complete	tail_insufficient	publishable	
neqoperf	bidi	syscall	loopback	1	throughput_gbps	duration	2000		20	5	3.305636	3.286237	3.328181	0.012688	3.266524	3.336988	1.021572	3.246601	3.238202	insufficient_order_stat_support	1.021666	0.000477	0	complete	tail_insufficient	publishable	
neqoperf	bidi	iouring	loopback	1	throughput_gbps	duration	2000		20	5	3.267888	3.258450	3.305751	0.014475	3.231501	3.305368	1.022858	3.228775	3.215497	insufficient_order_stat_support	1.018751	0.000482	0	complete	tail_insufficient	publishable	
neqoperf	small_payload_pps	syscall	loopback	4	messages_per_second	duration	2000		20	5	12211.500000	12164.250000	12245.500000	0.006654	12103.100000	12253.700000	1.012443	12088.600000	12050.980000	insufficient_order_stat_support	1.008731	0.006467	0	complete	tail_insufficient	publishable	
neqoperf	small_payload_pps	iouring	loopback	4	messages_per_second	duration	2000		20	5	12237.000000	12203.000000	12267.000000	0.005230	12153.600000	12322.400000	1.013889	12114.600000	12015.645000	insufficient_order_stat_support	1.007614	-0.002129	0	complete	tail_insufficient	publishable	
neqoperf	loss_recovery	syscall	loopback	2	throughput_gbps	duration	5000		20	5	5.860110	5.767409	5.888346	0.020637	5.762310	5.897992	1.023547	5.742005	5.708258	insufficient_order_stat_support	1.022960	-0.003578	0	complete	tail_insufficient	publishable	
neqoperf	loss_recovery	iouring	loopback	2	throughput_gbps	duration	5000		20	5	5.715147	5.651312	5.741446	0.015771	5.642803	5.739089	1.017064	5.614005	5.480692	insufficient_order_stat_support	1.020679	0.002365	0	complete	tail_insufficient	publishable	
neqoperf	flow_control	syscall	loopback	1	throughput_gbps	duration	2000		20	5	4.794643	4.759852	4.871596	0.023306	4.755485	4.953066	1.041548	4.713939	4.646063	insufficient_order_stat_support	1.026319	-0.005607	0	complete	tail_insufficient	publishable	
neqoperf	flow_control	iouring	loopback	2	throughput_gbps	duration	2000		20	5	5.562979	5.488730	5.581527	0.016681	5.477413	5.611299	1.024443	5.427549	5.150829	insufficient_order_stat_support	1.023732	-0.010074	0	complete	tail_insufficient	publishable	
neqoperf	resumed_connect	syscall	loopback	16	connections_per_second	work		2	20	5	14.313711	14.301992	14.334082	0.002242	14.282497	14.344522	1.004343	14.276239	14.190235	insufficient_order_stat_support	1.003053	-0.001007	0	complete	tail_insufficient	publishable	
neqoperf	resumed_connect	iouring	loopback	16	connections_per_second	work		2	20	5	14.765299	14.732445	14.801197	0.004656	14.690616	14.859218	1.011477	14.635157	14.549366	insufficient_order_stat_support	1.008381	-0.002259	0	complete	tail_insufficient	publishable	
neqoperf	zero_rtt_reqresp	syscall	loopback	4	requests_per_second	duration	2000		20	5	10569.000000	10557.000000	10598.750000	0.003950	10473.200000	10672.900000	1.019068	10401.700000	10334.830000	insufficient_order_stat_support	1.009549	0.002235	0	complete	tail_insufficient	publishable	
neqoperf	zero_rtt_reqresp	iouring	loopback	4	requests_per_second	duration	2000		20	5	10783.250000	10748.500000	10852.500000	0.009645	10713.300000	10886.200000	1.016139	10625.600000	10514.900000	insufficient_order_stat_support	1.012167	-0.000139	0	complete	tail_insufficient	publishable	
neqoperf	datagram	syscall	loopback	2	datagrams_per_second	duration	2000		20	5	1996134.750000	1977505.500000	2025571.000000	0.024079	1946886.900000	2019286.800000	1.037188	1911508.200000	1895729.670000	insufficient_order_stat_support	1.038601	-0.011247	0	complete	tail_insufficient	publishable	
neqoperf	datagram	iouring	loopback	2	datagrams_per_second	duration	2000		20	5	1860976.250000	1832561.750000	1886103.500000	0.028771	1825404.600000	1894864.400000	1.038052	1810892.300000	1745771.405000	insufficient_order_stat_support	1.039659	-0.016259	0	complete	tail_insufficient	publishable	
neqoperf	idle_footprint	syscall	loopback	16	server_rss_delta_bytes_per_connection	work			20	5	347264.000000	347264.000000	350592.000000	0.009583	339097.600000	355891.200000	1.049524	357196.800000	360606.720000	insufficient_order_stat_support	1.012182	-0.009861	0	complete	tail_insufficient	publishable	
neqoperf	idle_footprint	iouring	loopback	16	server_rss_delta_bytes_per_connection	work			20	5	372480.000000	371072.000000	378368.000000	0.019588	370073.600000	378777.600000	1.023520	383027.200000	384732.160000	insufficient_order_stat_support	1.023473	0.020359	0	complete	tail_insufficient	publishable	
neqoperf	close_reset_cleanup	syscall	loopback	4	streams_per_second	duration	2000		20	5	12233.500000	12204.250000	12236.000000	0.002595	12158.200000	12275.700000	1.009664	12082.350000	12039.510000	insufficient_order_stat_support	1.005788	0.000974	0	complete	tail_insufficient	publishable	
neqoperf	close_reset_cleanup	iouring	loopback	4	streams_per_second	duration	2000		20	5	12303.750000	12270.500000	12314.500000	0.003576	12205.000000	12392.200000	1.015338	12170.000000	12145.160000	insufficient_order_stat_support	1.007999	0.004244	0	complete	tail_insufficient	publishable	
lsperf	download	syscall	loopback	1	throughput_gbps	duration	2000		20	5	16.445613	15.924135	16.719844	0.048384	15.288908	16.899120	1.105319	15.001706	14.476757	insufficient_order_stat_support	1.094324	0.040820	0	complete	noisy	inconclusive	p50_ci_width_0.0484_gt_0.0300;drift_0.0408_gt_0.0300
lsperf	download	iouring	loopback	1	throughput_gbps	duration	2000		20	5	15.026128	14.674546	15.376202	0.046696	14.493306	15.361705	1.059917	13.596694	13.302893	insufficient_order_stat_support	1.055372	-0.000395	0	complete	noisy	inconclusive	p50_ci_width_0.0467_gt_0.0300
lsperf	upload	syscall	loopback	2	throughput_gbps	duration	2000		20	5	33.494600	30.659501	33.741562	0.092017	30.213596	34.222997	1.132702	29.499075	28.286031	insufficient_order_stat_support	1.154797	0.075487	0	complete	noisy	inconclusive	p50_ci_width_0.0920_gt_0.0300;block_median_ratio_1.1548_gt_1.1000;drift_0.0755_gt_0.0300
lsperf	upload	iouring	loopback	2	throughput_gbps	duration	2000		20	5	23.576319	23.375757	24.078976	0.029827	23.270376	24.415609	1.049214	22.949992	21.832898	insufficient_order_stat_support	1.052118	-0.024126	0	complete	tail_insufficient	publishable	
lsperf	connect	syscall	loopback	16	connections_per_second	work		8	20	5	291.758599	285.243571	312.489930	0.093387	284.385303	315.494059	1.109389	274.139470	265.637130	insufficient_order_stat_support	1.120935	-0.026400	0	complete	noisy	inconclusive	p50_ci_width_0.0934_gt_0.0500;block_median_ratio_1.1209_gt_1.1000
lsperf	connect	iouring	loopback	16	connections_per_second	work		8	20	5	262.974003	259.706758	265.333403	0.021396	253.457508	269.247279	1.062298	249.035301	241.402702	insufficient_order_stat_support	1.030623	-0.016312	0	complete	tail_insufficient	publishable	
lsperf	reqresp	syscall	loopback	16	requests_per_second	duration	2000		20	5	119404.250000	117874.000000	121154.500000	0.027474	117531.300000	121196.800000	1.031187	116795.350000	114151.375000	insufficient_order_stat_support	1.036253	-0.002429	0	complete	tail_insufficient	publishable	
lsperf	reqresp	iouring	loopback	16	requests_per_second	duration	2000		20	5	69022.750000	68021.500000	69936.000000	0.027737	67911.000000	70182.800000	1.033453	67476.800000	67092.635000	insufficient_order_stat_support	1.034351	0.007656	0	complete	tail_insufficient	publishable	
lsperf	stream_churn	syscall	loopback	16	streams_per_second	duration	2000		20	5	115554.000000	114074.000000	117696.000000	0.031345	112083.600000	117852.000000	1.051465	109615.600000	108647.200000	insufficient_order_stat_support	1.044693	0.029450	0	complete	tail_insufficient	publishable	
lsperf	stream_churn	iouring	loopback	16	streams_per_second	duration	2000		20	5	69856.000000	69644.000000	69964.000000	0.004581	69564.800000	70104.800000	1.007763	69435.600000	69402.840000	insufficient_order_stat_support	1.008303	-0.004218	0	complete	tail_insufficient	publishable	
