run_order	binary	scenario	network	path_profile	threads	status	reason	metric	samples	p50	out_dir
143	s2nperf	resumed_connect	iouring	loopback	16	ok		connections_per_second	3	15.341014	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00143t16-s2nperf-resumed_connect-iouring-loopback
145	s2nperf	zero_rtt_reqresp	syscall	loopback	1	ok		requests_per_second	3	32971.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00145t1-s2nperf-zero_rtt_reqresp-syscall-loopback
146	s2nperf	zero_rtt_reqresp	syscall	loopback	2	ok		requests_per_second	3	40611.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00146t2-s2nperf-zero_rtt_reqresp-syscall-loopback
147	s2nperf	zero_rtt_reqresp	syscall	loopback	4	ok		requests_per_second	3	41650.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00147t4-s2nperf-zero_rtt_reqresp-syscall-loopback
148	s2nperf	zero_rtt_reqresp	syscall	loopback	8	ok		requests_per_second	3	41530.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00148t8-s2nperf-zero_rtt_reqresp-syscall-loopback
149	s2nperf	zero_rtt_reqresp	syscall	loopback	16	ok		requests_per_second	3	39816.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00149t16-s2nperf-zero_rtt_reqresp-syscall-loopback
151	s2nperf	zero_rtt_reqresp	iouring	loopback	1	ok		requests_per_second	3	33009.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00151t1-s2nperf-zero_rtt_reqresp-iouring-loopback
152	s2nperf	zero_rtt_reqresp	iouring	loopback	2	ok		requests_per_second	3	41409.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00152t2-s2nperf-zero_rtt_reqresp-iouring-loopback
153	s2nperf	zero_rtt_reqresp	iouring	loopback	4	ok		requests_per_second	3	43542.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00153t4-s2nperf-zero_rtt_reqresp-iouring-loopback
154	s2nperf	zero_rtt_reqresp	iouring	loopback	8	ok		requests_per_second	3	41814.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00154t8-s2nperf-zero_rtt_reqresp-iouring-loopback
155	s2nperf	zero_rtt_reqresp	iouring	loopback	16	ok		requests_per_second	3	40966.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00155t16-s2nperf-zero_rtt_reqresp-iouring-loopback
157	s2nperf	datagram	syscall	loopback	1	ok		datagrams_per_second	3	1099646.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00157t1-s2nperf-datagram-syscall-loopback
158	s2nperf	datagram	syscall	loopback	2	ok		datagrams_per_second	3	1816544.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00158t2-s2nperf-datagram-syscall-loopback
159	s2nperf	datagram	syscall	loopback	4	ok		datagrams_per_second	3	2172780.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00159t4-s2nperf-datagram-syscall-loopback
160	s2nperf	datagram	syscall	loopback	8	ok		datagrams_per_second	3	2085706.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00160t8-s2nperf-datagram-syscall-loopback
161	s2nperf	datagram	syscall	loopback	16	ok		datagrams_per_second	3	1854194.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00161t16-s2nperf-datagram-syscall-loopback
163	s2nperf	datagram	iouring	loopback	1	ok		datagrams_per_second	3	975201.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00163t1-s2nperf-datagram-iouring-loopback
164	s2nperf	datagram	iouring	loopback	2	ok		datagrams_per_second	3	1609965.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00164t2-s2nperf-datagram-iouring-loopback
165	s2nperf	datagram	iouring	loopback	4	ok		datagrams_per_second	3	2340999.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00165t4-s2nperf-datagram-iouring-loopback
166	s2nperf	datagram	iouring	loopback	8	ok		datagrams_per_second	3	2546121.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00166t8-s2nperf-datagram-iouring-loopback
167	s2nperf	datagram	iouring	loopback	16	ok		datagrams_per_second	3	2447088.000000	.run/fixed-full-matrix-20260601T015324Z/scout/blocks/r000b00167t16-s2nperf-datagram-iouring-loopback
